H,M,M_lower,M_upper,sample,dummy,p_used
4,8.280084538956206e-4,-0.04229860423306227,0.0448786760230989,Sin dummy (baseline),FALSE,4
8,0.008761442652394492,-0.07052258342605934,0.08749091935474879,Sin dummy (baseline),FALSE,4
12,0.012278920391454182,-0.09481199654480275,0.11684177518713086,Sin dummy (baseline),FALSE,4
4,-0.0042137562797450855,-0.04318857450612606,0.0377142275949132,Con dummy COVID,TRUE,4
8,0.0029550593097129817,-0.06877693828941402,0.07727175826666581,Con dummy COVID,TRUE,4
12,0.006803112023090642,-0.09143440020677847,0.10564297340803273,Con dummy COVID,TRUE,4
