stable,max_root_mod,serial_p,arch_p,sample,p_used,dummy,svar_B,svar_method
TRUE,0.961329263708833,0.2907815433122871,0.9999999999982201,Sin dummy (baseline),4,FALSE,diag_free,direct
TRUE,0.9651629382421464,0.4195464684050405,0.9999999999982201,Con dummy COVID,4,TRUE,diag_free,direct
