sample,tag,p_used,impulse,response,h,irf,lower,upper,excludes_zero
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,2,-0.0019241187569233951,-0.0069702088678799965,0.003977509699608112,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,3,-0.004228512577951489,-0.009298157367932174,0.0020428853111936294,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,4,0.003545882615744859,-0.0028250897825891747,0.00924463891631541,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,5,0.0011876447530642675,-0.0059397976941320905,0.00710881515130342,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,6,4.997518077055054e-4,-0.0057568342675254885,0.006328966492591095,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,7,-0.006446089277258049,-0.011526489686104298,0.0021039170053770654,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,8,0.0034109339948851865,-0.003954237320736668,0.009047685839197867,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,9,5.559828899230519e-4,-0.005680281526219888,0.006905017682183926,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,10,0.0015525424872021782,-0.005050625047098592,0.007203182104716199,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,11,-0.005914069563317102,-0.010728707015508028,0.002407437793867463,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,ga,12,0.003080402123399254,-0.003813857791583955,0.008240376069930805,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,0,0,0,0,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,1,5.41766849832862e-4,-0.009776962798591672,0.009117852431013559,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,2,0.009525436586215987,-1.4582435570543285e-4,0.016204287037640902,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,3,-0.0011097461258110673,-0.009833880458260034,0.008155172673080037,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,4,-0.005230042329898124,-0.012521492034592987,0.0040202756646449305,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,5,0.002661145001341609,-0.004693537221272483,0.008910065816276007,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,6,0.00474304463857682,-0.0028008558794381166,0.009608686257177899,FALSE
noCOVID (2008Q1-2019Q4),baseline_mean_winsor_nocovid,5,v,gw,7,-8.464080793075157e-4,-0.006124720069231743,0.005159495677988262,FALSE
