stable,max_root_mod,serial_p,arch_p,sample,p_used,svar_B,svar_method
TRUE,0.961329263708833,0.2907815433122871,0.9999999999982201,Baseline (v level),4,diag_free,direct
TRUE,0.9872912176996689,0.5725791991566673,0.9999999999997853,Robustez (delta v),4,diag_free,direct
