variable,T,ADF_type,ADF_stat,ADF_cv_10,ADF_cv_5,ADF_cv_1,ADF_reject_5pct,KPSS_type,KPSS_stat,KPSS_cv_10,KPSS_cv_5,KPSS_cv_1,KPSS_reject_5pct
v (nivel),60,drift,-2.9050107397145406,-2.58,-2.89,-3.51,TRUE,mu,0.263417168778996,0.347,0.463,0.739,FALSE
Δv,59,drift,-6.503847869768849,-2.58,-2.89,-3.51,TRUE,mu,0.05394794048280798,0.347,0.463,0.739,FALSE
