H,M,M_lower,M_upper,p
4,0.01152683041270836,-0.0015488933635200517,0.027493772535028098,1
8,0.0145388905430448,-0.00202874073099868,0.03278675425507901,1
12,0.015414172565808668,-0.002175647869159002,0.034688677373479124,1
4,0.004659058004504261,-0.05037621101176309,0.0549608149279582,6
8,0.01224337977123764,-0.09789177288423306,0.11075694261627379,6
12,0.02191789694879482,-0.13411585584455077,0.1602827856853348,6
