sample,p_used,stable,max_root_mod,serial_p,arch_p,svar_B,svar_method,M_H4,M_H8,M_H12,M_lower_H4,M_lower_H8,M_lower_H12,M_upper_H4,M_upper_H8,M_upper_H12
Baseline (v level),4,TRUE,0.961329263708833,0.2907815433122871,0.99999999999822,diag_free,direct,8.280084538956206e-4,0.00876144265239449,0.01227892039145418,-0.04229860423306227,-0.07052258342605934,-0.09481199654480275,0.0448786760230989,0.08749091935474879,0.11684177518713086
Robustez (delta v),4,TRUE,0.9872912176996688,0.5725791991566673,0.9999999999997852,diag_free,direct,-0.0015420322533259,-0.00295809292564114,-0.00133996994925772,-0.05053539678533662,-0.09385583040097928,-0.12429191849099765,0.04739746775184466,0.08754092676301072,0.12092094125971994
