spec,var_short,T,season_p,beta_t,p_t,r2,ADF_stat_drift,ADF_stat_trend,ADF_cv_5_drift,ADF_cv_5_trend,ADF_reject_5pct_drift,ADF_reject_5pct_trend,KPSS_stat_mu,KPSS_stat_tau,KPSS_cv_5_mu,KPSS_cv_5_tau,KPSS_reject_5pct_mu,KPSS_reject_5pct_tau
Baseline (mean winsor),ga,59,6.963754904398995e-8,-1.7792378972566217e-4,0.6478076958540636,0.4808687512197557,-7.179606596852856,-7.158485450776932,-2.89,-3.45,TRUE,TRUE,0.08120852342769043,0.06432789633235843,0.463,0.146,FALSE,FALSE
Baseline (mean winsor),gw,59,0.8812929961515963,-4.131720329531051e-4,0.20944561985103224,0.04058686319877577,-5.4192499733489035,-5.622247772348189,-2.89,-3.45,TRUE,TRUE,0.29740962541572663,0.1441207061526095,0.463,0.146,FALSE,FALSE
Baseline (mean winsor),v,59,0.3491977949946584,-3.0689746346718795e-4,0.14250652259119995,0.09467549501601782,-2.8793863098946533,-2.883366610555639,-2.89,-3.45,FALSE,FALSE,0.26848875436391,0.1825271735467186,0.463,0.146,FALSE,TRUE
Robustez (mean no-winsor),ga,59,6.963754904398995e-8,-1.7792378972566217e-4,0.6478076958540636,0.4808687512197557,-7.179606596852856,-7.158485450776932,-2.89,-3.45,TRUE,TRUE,0.08120852342769043,0.06432789633235843,0.463,0.146,FALSE,FALSE
Robustez (mean no-winsor),gw,59,0.8644354971966236,-4.357002360943013e-4,0.22703160460821745,0.03974735357334783,-5.5088065430832485,-5.676376070471189,-2.89,-3.45,TRUE,TRUE,0.273787824045705,0.12467649338801302,0.463,0.146,FALSE,FALSE
Robustez (mean no-winsor),v,59,0.3491977949946584,-3.0689746346718795e-4,0.14250652259119995,0.09467549501601782,-2.8793863098946533,-2.883366610555639,-2.89,-3.45,FALSE,FALSE,0.26848875436391,0.1825271735467186,0.463,0.146,FALSE,TRUE
Robustez (median),ga,59,6.963754904398995e-8,-1.7792378972566217e-4,0.6478076958540636,0.4808687512197557,-7.179606596852856,-7.158485450776932,-2.89,-3.45,TRUE,TRUE,0.08120852342769043,0.06432789633235843,0.463,0.146,FALSE,FALSE
Robustez (median),gw,59,0.6128103495061058,-4.489022240910604e-4,0.1721338785399689,0.0652302775655688,-5.879581038183902,-6.235330110653725,-2.89,-3.45,TRUE,TRUE,0.3419115394436167,0.0837834503689409,0.463,0.146,FALSE,FALSE
Robustez (median),v,59,0.3491977949946584,-3.0689746346718795e-4,0.14250652259119995,0.09467549501601782,-2.8793863098946533,-2.883366610555639,-2.89,-3.45,FALSE,FALSE,0.26848875436391,0.1825271735467186,0.463,0.146,FALSE,TRUE
