model,impulse,response,H,multiplier,lower,upper,exclude_zero
no_seasonal_control,v,ga,4,8.280084538956206e-4,-0.04229860423306227,0.0448786760230989,FALSE
no_seasonal_control,v,ga,8,0.008761442652394492,-0.07052258342605934,0.08749091935474879,FALSE
no_seasonal_control,v,ga,12,0.012278920391454182,-0.09481199654480275,0.11684177518713086,FALSE
with_seasonal_control,v,ga,4,-4.6245033247691025e-4,-0.04308663745804468,0.041353600394869336,FALSE
with_seasonal_control,v,ga,8,0.005428085054437575,-0.05751260553627435,0.06725331962057417,FALSE
with_seasonal_control,v,ga,12,0.006583457154618271,-0.06944105830170418,0.07999230940698442,FALSE
