model,impulse,response,h,irf,lower,upper,exclude_zero
no_seasonal_control,ga,gw,12,0.0018474988960376067,-0.00228369070473506,0.0061090216171238165,FALSE
with_seasonal_control,ga,gw,0,0,0,0,FALSE
with_seasonal_control,ga,gw,1,0.0013088400305153846,-0.01006011142366247,0.0122397734692973,FALSE
with_seasonal_control,ga,gw,2,0.006479593001247157,-0.005127406404444378,0.01636767880363051,FALSE
with_seasonal_control,ga,gw,3,0.00799563407578123,-0.004287848025769632,0.017929789106604824,FALSE
with_seasonal_control,ga,gw,4,-2.60416550282607e-4,-0.010893606727711362,0.010634880633981394,FALSE
with_seasonal_control,ga,gw,5,-0.011974187955753529,-0.02102277660433785,7.169593820691118e-4,FALSE
with_seasonal_control,ga,gw,6,-0.004678406934679299,-0.013164639418056236,0.004240472752300948,FALSE
with_seasonal_control,ga,gw,7,1.9942180337033426e-4,-0.007413160385609152,0.00791633551532872,FALSE
with_seasonal_control,ga,gw,8,-3.7442377030467706e-4,-0.005823837101309244,0.006514905715382277,FALSE
with_seasonal_control,ga,gw,9,-0.0024087210888221293,-0.006133503167184612,0.005545021376310632,FALSE
with_seasonal_control,ga,gw,10,-0.00301394783485612,-0.0077195283221370625,0.0023402616490733425,FALSE
with_seasonal_control,ga,gw,11,-0.0011765676490318147,-0.006277346169566177,0.0031217332439554026,FALSE
with_seasonal_control,ga,gw,12,0.0011310115198951735,-0.0030993581629195884,0.005630562322135521,FALSE
