H,M,M_lower,M_upper,tag,p_used
4,0.0014011274521854387,-0.04453955049107653,0.0493136334771964,robust_median,4
8,0.008217689421966549,-0.07474287768721216,0.09236045578129516,robust_median,4
12,0.010263564288879938,-0.10169282045090952,0.12202137783383911,robust_median,4
