H,M,M_lower,M_upper,tag,p_used
4,3.7496674806757925e-5,-0.04202819731742276,0.04203049971190198,robust_mean_nowinsor,4
8,0.008402969956859475,-0.06851073366487763,0.0829728031280935,robust_mean_nowinsor,4
12,0.011378758400421133,-0.09209351399383177,0.11042832361603085,robust_mean_nowinsor,4
