parameter,H,point_estimate,boot_median,ci68_lo,ci68_hi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,n_success,interpretation
proxy_gw_to_v,8,0.028474666714084138,0.019762762636272323,0.005454947882652802,0.03551079186571754,-0.004545352070034372,0.04828845309017298,-0.010387927451708344,0.05547757126227802,2000,Proxy complementaria sugerida por el profesor; no usar como identificacion principal de rho_minus_alpha.
proxy_gw_to_v,12,0.03204960888873563,0.019804630875076328,0.005293903827223372,0.038637466468829956,-0.0036647064423482494,0.05333569027633741,-0.009219477532669985,0.060613245510640595,2000,Proxy complementaria sugerida por el profesor; no usar como identificacion principal de rho_minus_alpha.
