parameter,H,point_estimate,boot_median,ci68_lo,ci68_hi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,n_success
alpha,8,0.008761442652394492,0.007562491548502178,0.0032393809841074817,0.01232562944399748,2.955591380899041e-4,0.016046489960250022,-0.0013648569395892827,0.017910126938664662,2000
alpha,12,0.012278920391454182,0.009411800560160014,0.005082905360410211,0.014399293085872993,0.0024507068884859046,0.018142276126734053,0.0013509925582450284,0.020198919519804577,2000
rho_minus_alpha,8,0.0063944698882621945,0.002333740947873013,-0.005478835406217347,0.011565750235252694,-0.009706208344713883,0.018074413626898916,-0.011780230818399275,0.021562129827246337,2000
rho_minus_alpha,12,0.006407736846669428,0.0014373220592078118,-0.005932103443264855,0.011426508288090003,-0.009698208065309995,0.019283460635140776,-0.01174858352228465,0.02373442681597322,2000
rho,8,0.015155912540656687,0.009896810530839389,0.0019869782116940012,0.019474303264724595,-0.0027994968390787174,0.026597194680756664,-0.004966341551506064,0.030739613045604807,2000
rho,12,0.01868665723812361,0.011028723493271098,0.0023580671802276264,0.022683054496744244,-0.001982327977678642,0.03195464971745169,-0.004132336693187177,0.03660555515306153,2000
