H,M,M_lower,M_upper,sample,p_used
4,8.280084538956206e-4,-0.04229860423306227,0.0448786760230989,Full (2008Q1–2022Q4),4
8,0.008761442652394492,-0.07052258342605934,0.08749091935474879,Full (2008Q1–2022Q4),4
12,0.012278920391454182,-0.09481199654480275,0.11684177518713086,Full (2008Q1–2022Q4),4
4,-0.0010675402016481611,-0.021541380773248776,0.019019075166448657,noCOVID (2008Q1–2019Q4),4
8,-5.299700705663104e-4,-0.04212245129674991,0.03928455415715941,noCOVID (2008Q1–2019Q4),4
12,-3.8971371662502617e-4,-0.06070696869460148,0.057763738204196696,noCOVID (2008Q1–2019Q4),4
