p,stable,max_root_mod,serial_p,arch_p
1,TRUE,0.7346557865950323,5.068923246339674e-4,0.9999999994830188
2,TRUE,0.783778307359136,0.07188724869387242,0.9999999999131047
3,TRUE,0.9145599787604934,0.010211327360872158,0.9999999999868571
4,TRUE,0.961329263708833,0.2907815433122871,0.9999999999982201
5,TRUE,0.9991356120540276,0.18573999888585924,0.9999999999997853
6,FALSE,1.0423432906211574,0.013260174496901533,0.999999999999977
