h,irf,lower,upper,impulse,response,model,model_label,dummy,p_used,wage_col,ci
0,0,0,0,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
2,0.0016340344087720172,-0.0074076930057780386,0.010352462465347736,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
3,0.0039474340791069915,-0.006245749861854085,0.012932759157443689,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
4,1.397310386324982e-4,-0.00900966598277198,0.009075791786387172,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
5,-0.008592353926522307,-0.01751608454954644,8.826382865080184e-4,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
6,-0.003061456032881956,-0.010420841222959859,0.004969890814023797,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
7,-5.025741417312704e-4,-0.006286154159093475,0.0067414268359443745,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
8,-6.250766553926279e-4,-0.005764267168903892,0.004873298882993636,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
9,-0.004516138463743989,-0.008577452344464914,0.001288343877512587,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
10,-0.0018351931815547015,-0.005549851346282149,0.0029494237602422342,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
11,-9.631030448135963e-4,-0.004005251654980853,0.0035819742417887383,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
12,7.455735433944362e-4,-0.0023768328176785288,0.0043194389082572915,ga,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
0,0,0,0,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
1,-0.004510823324869313,-0.013610990332289755,0.007330954312725513,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
2,0.010509804185083503,-8.61352623042965e-4,0.018444007305602625,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
3,-0.017996333175468282,-0.02699344026597551,-0.0046304901832010725,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
4,0.007783596035509006,-0.001605640761656845,0.017069873855919095,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
5,0.0010076284964362554,-0.007186258306615236,0.011911901390784579,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
6,0.010250467918481167,-7.32301891984345e-4,0.015588317797759198,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
7,-0.010608131443781015,-0.01665951345765687,-0.001471287544808132,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
8,0.00651885061832166,-0.001507401590429675,0.01248719635953407,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
9,-0.0030364584011106427,-0.008696455245251148,0.005058459269875847,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
10,0.009048748454588203,4.571051468759755e-4,0.013266401112100585,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
11,-0.007205635674080769,-0.01242499638118378,-1.5093157781107097e-4,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
12,0.00504139833398087,-0.0022881715418004186,0.009758129593749885,v,ga,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
0,0,0,0,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
1,0.0033419092514224737,-0.0060731812144179725,0.011282618871034565,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
2,0.005529869818781871,-0.004336119124615724,0.01167229973864399,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
3,-0.0025821732480287105,-0.010497654650638356,0.005285086235387231,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
4,0.0033118815414645234,-0.0031152720529045094,0.00812683961403401,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
5,0.001264403167755063,-0.004124442240848812,0.005665406616338567,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
6,0.002299501404237732,-0.0031398807671217358,0.006273877917808185,v,gw,p4_with_dummy,p=4 | con dummy COVID,TRUE,4,w_real_mean_winsor,0.95
