p_used,H,impulse,response,multiplier_no_dummy,multiplier_with_dummy,lower_no_dummy,lower_with_dummy,upper_no_dummy,upper_with_dummy,excludes_zero_no_dummy,excludes_zero_with_dummy
4,4,v,ga,8.280084538956206e-4,-0.0042137562797450855,-0.04233621045141265,-0.043071423982965075,0.04551644793186829,0.03821434529104616,FALSE,FALSE
4,8,v,ga,0.008761442652394492,0.0029550593097129817,-0.0715296080209979,-0.0691568992296512,0.08714515052036897,0.07673047329431587,FALSE,FALSE
4,12,v,ga,0.012278920391454182,0.006803112023090642,-0.09675593814595357,-0.09210941725101057,0.11671553220653509,0.10466253169223112,FALSE,FALSE
6,4,v,ga,0.004659058004504261,0.001171681469520533,-0.05037621101176309,-0.043414601493125586,0.0549608149279582,0.043441594651780296,FALSE,FALSE
6,8,v,ga,0.01224337977123764,0.004560849520928386,-0.09789177288423306,-0.0872530433213662,0.11075694261627379,0.08882178041219786,FALSE,FALSE
6,12,v,ga,0.02191789694879482,0.009309622804908217,-0.13411585584455077,-0.12479501104437622,0.1602827856853348,0.12990006087010655,FALSE,FALSE
