H,M,M_lower,M_upper,tag
4,0.011434661479495511,-0.0011619520560466473,0.027950724091172965,robust_mean_nowinsor
8,0.014452668568875376,-0.0015675294575784996,0.033099073497497696,robust_mean_nowinsor
12,0.015340791824744099,-0.0016494898858129385,0.03506245123016432,robust_mean_nowinsor
