H,M,M_lower,M_upper,tag
4,0.011089001665022089,-0.0017374137556906133,0.02713798643260901,robust_median
8,0.013928030194578235,-0.0021276257281369762,0.03210603849727199,robust_median
12,0.0147475984962351,-0.0022431979176788953,0.0339248328029753,robust_median
