H,M,M_lower,M_upper,tag
4,0.01152683041270836,-0.001101799844263902,0.02807241864747108,baseline_mean_winsor
8,0.0145388905430448,-0.0014979591173289902,0.033201482107502005,baseline_mean_winsor
12,0.015414172565808668,-0.0016039139370368598,0.03511693110579046,baseline_mean_winsor
