variable,adf_stat,adf_p,kpss_stat,kpss_p,tag
ga (robust_mean_nowinsor),-4.253926229632438,0.01,0.08120852342769051,0.1,robust_mean_nowinsor
gw (robust_mean_nowinsor),-3.797007945357091,0.02464167875332838,0.27378782404570506,0.1,robust_mean_nowinsor
v  (robust_mean_nowinsor),-2.5073873024532922,0.3697688133899043,0.2684887543639123,0.1,robust_mean_nowinsor
