year_final,tri_fix,ocupados,desocupados,fuerza_trab,tasa_desemp,n_obs,t_index
2008,T1,2502.7287604808807,291.00203239917755,2793.7307928800583,10.41625174268074,8548,2008.1
2008,T2,2515.6421842575073,271.4156970977783,2787.0578813552856,9.738430583501007,8510,2008.2
2008,T3,2520.006583929062,259.53556180000305,2779.542145729065,9.337349397590362,8659,2008.3
2008,T4,2509.7390785217285,306.222430229187,2815.9615087509155,10.874524714828897,9037,2008.4
2009,T1,2384.736554503441,380.7239863872528,2765.4605408906937,13.767109700456258,8738,2009.1
2009,T2,2396.301051735878,380.4696705341339,2776.770722270012,13.701875616979269,8836,2009.2
2009,T3,2440.851757287979,308.14923590421677,2749.000993192196,11.209498893137452,8778,2009.3
2009,T4,2536.664840877056,315.6063374876976,2852.2711783647537,11.065088757396449,8622,2009.4
2010,T1,2488.0293715000153,321.5895583629608,2809.618929862976,11.44602048857368,8774,2010.1
2010,T2,2538.2695273160934,290.57817310094833,2828.847700417042,10.271962433965955,8814,2010.2
2010,T3,2550.623125374317,259.0777425169945,2809.7008678913116,9.220830070477682,8839,2010.3
2010,T4,2621.5694967508316,236.12678289413452,2857.696279644966,8.262836907338187,8729,2010.4
2011,T1,2615.124074816704,287.1734926700592,2902.297567486763,9.894695012914763,8560,2011.1
2011,T2,2650.6257930397987,269.85117000341415,2920.476963043213,9.239969135802468,8760,2011.2
2011,T3,2648.6387023329735,238.97492051124573,2887.613622844219,8.275862068965518,8665,2011.3
2011,T4,2700.5870577692986,225.48365861177444,2926.070716381073,7.706022187004755,8559,2011.4
2012,T1,2683.709343791008,285.2784775495529,2968.987821340561,9.608610567514678,8595,2012.1
2012,T2,2728.1477743387222,262.5365027189255,2990.6842770576477,8.778476040848389,8599,2012.2
2012,T3,2741.6608568429947,234.72715723514557,2976.3880140781403,7.88630904723779,8508,2012.3
2012,T4,2814.6523684859276,189.91289055347443,3004.565259039402,6.320810971973763,8412,2012.4
2013,T1,2723.0723185539246,226.5242336988449,2949.5965522527695,7.67983789260385,8370,2013.1
2013,T2,2757.8977966308594,230.07843017578125,2987.9762268066406,7.700142595233245,8435,2013.2
2013,T3,2792.8545110821724,232.29001599550247,3025.144527077675,7.678641926569285,8584,2013.3
2013,T4,2856.8655595183372,229.87661629915237,3086.7421758174896,7.447224394057858,8515,2013.4
2014,T1,2799.6021687984467,263.1320071220398,3062.7341759204865,8.591408591408591,8386,2014.1
2014,T2,2795.8392124176025,257.6725718975067,3053.5117843151093,8.438564842653838,8427,2014.2
2014,T3,2904.2889776825905,245.18745601177216,3149.4764336943626,7.785022722782059,8326,2014.3
2014,T4,2926.2634293437004,251.82237070798874,3178.085800051689,7.923712151002753,8267,2014.4
2015,T1,2870.446484684944,277.190402507782,3147.636887192726,8.806301757220764,8254,2015.1
2015,T2,2840.3885815143585,250.81118685007095,3091.1997683644295,8.113716538700976,8137,2015.2
2015,T3,2930.2426196336746,297.244009912014,3227.4866295456886,9.209767352432225,8342,2015.3
2015,T4,2934.6877703666687,244.14210653305054,3178.8298768997192,7.6802507836990594,8393,2015.4
2016,T1,2795.3781278133392,334.7908968925476,3130.169024705887,10.695617209489345,8381,2016.1
2016,T2,2859.2828088998795,313.3111674785614,3172.593976378441,9.875551987153754,8252,2016.2
2016,T3,2916.6685461997986,277.80836820602417,3194.4769144058228,8.696521391443422,8228,2016.3
2016,T4,2995.909761428833,244.01358819007874,3239.9233496189117,7.531461761858664,8467,2016.4
2017,T1,2890.833861231804,331.4654142856598,3222.2992755174637,10.286611700039263,8431,2017.1
2017,T2,2875.0004332065582,318.78311681747437,3193.7835500240326,9.981362600952577,8031,2017.2
2017,T3,3013.7280608415604,314.48731875419617,3328.2153795957565,9.449127622034895,8172,2017.3
2017,T4,2955.438818335533,292.6050537824631,3248.043872117996,9.008654602675058,8347,2017.4
2018,T1,2951.6334859132767,328.6838879585266,3280.3173738718033,10.019880715705765,8173,2018.1
2018,T2,2967.913297832012,276.6755472421646,3244.588845074177,8.527291452111225,7976,2018.2
2018,T3,2981.353097677231,287.1371660232544,3268.4902637004852,8.785009067096514,8055,2018.3
2018,T4,3027.887379527092,295.35635697841644,3323.2437365055084,8.887592376507195,8312,2018.4
2019,T1,2948.6133852005005,335.06970286369324,3283.6830880641937,10.204081632653061,8051,2019.1
2019,T2,2966.259743452072,333.8587853908539,3300.118528842926,10.116569525395503,7866,2019.2
2019,T3,2946.545578479767,358.9464440345764,3305.4920225143433,10.85909273384183,8137,2019.3
2019,T4,3013.875634908676,344.65083533525467,3358.526470243931,10.261965727792003,8227,2019.4
2020,T1,2214.364712893963,793.7654435038567,3008.1301563978195,26.387337057728118,10360,2020.1
2020,T2,1897.3588477671146,559.680164784193,2457.0390125513077,22.778643803585346,12196,2020.2
2020,T3,2424.2792935967445,523.5058795809746,2947.785173177719,17.759295499021526,12203,2020.3
2020,T4,2860.2865819633007,497.1858284473419,3357.4724104106426,14.808336977117039,12252,2020.4
2021,T1,2634.0765614807606,515.6683461666107,3149.7449076473713,16.371749499923066,12082,2021.1
2021,T2,2592.8656700849533,433.61249220371246,3026.4781622886658,14.327296248382924,12165,2021.2
2021,T3,2889.354026556015,394.95847660303116,3284.312503159046,12.025605852766347,11840,2021.3
2021,T4,3031.4539073109627,394.56370943784714,3426.01761674881,11.51668653158522,11664,2021.4
2022,T1,2970.9814599752426,429.02259349823,3400.0040534734726,12.618296529968454,9882,2022.1
2022,T2,3016.971555054188,380.38454711437225,3397.35610216856,11.19648737650933,7922,2022.2
2022,T3,3108.3806295394897,339.7916083931923,3448.172237932682,9.854252773547966,7893,2022.3
2022,T4,3271.05523699522,318.8970128893852,3589.9522498846054,8.883043302306758,8211,2022.4
