archivo,year,month,trimestre,matches_ingreso,matches_peso
marzo2009.sav,2009,03,T1,ingsueld,factor_hd | factor
junio2009.sav,2009,06,T2,ingsueld,factor_hd | factor
septiembre2009.sav,2009,09,T3,ingsueld,factor_hd | factor
diciembre2009.sav,2009,12,T4,ingsueld,factor_hd | factor
marzo2010.sav,2010,03,T1,ingsueld,factor_hd | factor
junio2010.sav,2010,06,T2,ingsueld,factor_hd | factor
septiembre2010.sav,2010,09,T3,ingsueld,factor_hd | factor
diciembre2010.sav,2010,12,T4,ingsueld,factor_hd | factor
marzo2011.sav,2011,03,T1,ingsueld,factor_hd | factor
junio2011.sav,2011,06,T2,ingsueld,factor_hd | factor
septiembre2011.sav,2011,09,T3,ingsueld,factor_hd | factor
diciembre2011.sav,2011,12,T4,ingsueld,factor_hd | factor
marzo2012.sav,2012,03,T1,ingsueld,factor_hd | factor
junio2012.sav,2012,06,T2,ingsueld,factor_hd | factor
septiembre2012.sav,2012,09,T3,ingsueld,factor_hd | factor
diciembre2012.sav,2012,12,T4,ingsueld,factor_hd | factor
marzo2013.sav,2013,03,T1,ingsueld,factor_hd | factor
junio2013.sav,2013,06,T2,ingsueld,factor_hd | factor
septiembre2013.sav,2013,09,T3,ingsueld,factor_hd | factor
diciembre2013.sav,2013,12,T4,ingsueld,factor_hd | factor
marzo2014.sav,2014,03,T1,ingsueld,factor_hd | factor
junio2014.sav,2014,06,T2,ingsueld,factor_hd | factor
septiembre2014.sav,2014,09,T3,ingsueld,factor_hd | factor
Diciembre2014.sav,2014,12,T4,ingsueld,factor_hd | factor
marzo2015.sav,2015,03,T1,ingsueld,factor_hd | factor
Junio2015.sav,2015,06,T2,ingsueld,factor_hd | factor
Septiembre2015.sav,2015,09,T3,ingsueld,factor_hd | factor
Diciembre2015.sav,2015,12,T4,ingsueld,factor_hd | factor
Marzo2016.sav,2016,03,T1,ingsueld,factor_hd | factor
Junio2016.sav,2016,06,T2,ingsueld,factor_hd | factor
Septiembre2016.sav,2016,09,T3,ingsueld,factor_hd | factor
Marzo2017.sav,2017,03,T1,ingsueld,factor_hd | factor
Junio2017.sav,2017,06,T2,ingsueld,factor_hd | factor
Septiembre2017.sav,2017,09,T3,ingsueld,factor_hd | factor
Diciembre2017.sav,2017,12,T4,ingsueld,factor_hd | factor
Marzo2018.sav,2018,03,T1,ingsueld,factor_hd | factor
Junio2018.sav,2018,06,T2,ingsueld,varw | varw2 | varw3 | varw4 | factor_hd | factor
Marzo2019.sav,2019,03,T1,ingsueld,varw | varw2 | varw3 | varw4 | factor_hd | factor
Junio2019.sav,2019,06,T2,ingsueld,varw | varw2 | varw3 | varw4 | factor_hd | factor
Septiembre2019.sav,2019,09,T3,ingsueld,varw | varw2 | varw3 | varw4 | factor_hd | factor
Diciembre2019.sav,2019,12,T4,ingsueld,varw | varw2 | varw3 | varw4 | factor_hd | factor
Marzo2020.sav,2020,03,T1,ingsueld,factor_hd | factor | interview__key
Junio2020.sav,2020,06,T2,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Septiembre2020.sav,2020,09,T3,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Diciembre2020.sav,2020,12,T4,ingsueld,varw | varw2 | varw4 | factor_hd | factor
Base_web_Junio2021s.sav,2021,06,T2,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Septiembre2021.sav,2021,09,T3,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Diciembre2021s.sav,2021,12,T4,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Marzo2022.sav,2022,03,T1,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Base_web_Septiembre2022.sav,2022,09,T3,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
Diciembre2022.sav,2022,12,T4,ingsueld,varw | varw2 | varw4 | factor_hd | pondera | factor
