year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,t_index,ipc_tri,media_pond_real,media_simple_real,masa_salarial_real
2008,T1,3655,671972811.5045693,2033.675771355629,330422.78467852256,330422.78467852256,2008.1,NA,NA,NA,NA
2008,T2,3573,673015540.7651424,2003.653482913971,335894.178561433,335894.178561433,2008.2,NA,NA,NA,NA
2008,T3,3802,767616107.2899787,2122.052055835724,361732.9297738033,361732.9297738033,2008.3,NA,NA,NA,NA
2008,T4,3924,697528666.3338518,2100.728699684143,332041.2895005097,332041.2895005097,2008.4,NA,NA,NA,NA
2009,T1,3648,677747066.1326408,2001.2695999145508,338658.55263157893,338658.55263157893,2009.1,NA,NA,NA,NA
2009,T2,3642,698477021.7904524,1996.643429517746,349825.61806699616,349825.61806699616,2009.2,NA,NA,NA,NA
2009,T3,3634,754266898.1898427,2010.4386414289474,375175.2889378096,375175.2889378096,2009.3,NA,NA,NA,NA
2009,T4,3586,743125815.8781946,2017.4052160978317,368357.2392638037,368357.2392638037,2009.4,NA,NA,NA,NA
2010,T1,3638,712143226.4768331,2013.6709351539612,353654.22127542604,353654.22127542604,2010.1,NA,NA,NA,NA
2010,T2,3616,658941411.0780716,2001.3917598724365,329241.592920354,329241.592920354,2010.2,NA,NA,NA,NA
2010,T3,3531,637941701.9604802,1942.2579805254936,328453.6391956953,328453.6391956953,2010.3,NA,NA,NA,NA
2010,T4,3719,733346876.7477393,2090.8464418649673,350741.624092498,350741.624092498,2010.4,NA,NA,NA,NA
2011,T1,3543,762456867.7842021,2043.0837038755417,373189.2464013548,373189.2464013548,2011.1,NA,NA,NA,NA
2011,T2,3668,791486777.0012498,2066.4177277088165,383023.60959651036,383023.60959651036,2011.2,NA,NA,NA,NA
2011,T3,3785,805173704.674083,2153.6192241311073,373870.0396301189,373870.0396301189,2011.3,NA,NA,NA,NA
2011,T4,3761,862588025.8440971,2180.0617995858192,395671.36399893643,395671.36399893643,2011.4,NA,NA,NA,NA
2012,T1,3826,879139513.0833361,2222.964267015457,395480.7219027705,395480.7219027705,2012.1,NA,NA,NA,NA
