year,trimestre,t_index,imacec_no_minero_indice,empleo_indice,prod_raw,prod_indice
2008,1,2008.1,70.45664851614475,83.92232020681193,0.8395460032863322,83.96632072605182
2008,2,2008.2,72.07667624842522,84.35533736083228,0.8544412067266739,85.45604901307334
2008,3,2008.3,68.41426648360608,84.50168583955289,0.8096201372065794,80.9733163410373
2008,4,2008.4,73.42810391620228,84.15739248658329,0.872509256128729,87.26310619046268
2009,1,2009.1,69.64299937900013,79.96576692452808,0.8709101664056994,87.1031748942287
2009,2,2009.2,70.05062951241744,80.35355143202098,0.8717801299881587,87.19018339751361
2009,3,2009.3,67.38688807339337,81.84744027679713,0.8233230977719022,82.34380369637037
2009,4,2009.4,73.79133574584557,85.06027596555931,0.8675181794110742,86.7639288412734
2010,1,2010.1,70.56432221258618,83.42941548282592,0.8457966750002217,84.59147515931365
2010,2,2010.2,74.68615778946491,85.11408483661835,0.8774829446011142,87.76054447237817
2010,3,2010.3,72.73284632249054,85.52832973135848,0.85039479375947,85.05135122681229
2010,4,2010.4,80.3003444475725,87.90732668467882,0.9134658904553842,91.3593413940965
2011,1,2011.1,78.43129907503905,87.69119668610881,0.8944033385219314,89.45282007991497
2011,2,2011.2,81.10234153389912,88.88165192506891,0.912475632229157,91.26030174707356
2011,3,2011.3,78.21600365053642,88.81502014890067,0.880661891641811,88.07848355581783
2011,4,2011.4,86.17628523008402,90.55696941163535,0.9516251017451952,95.17579524090337
2012,1,2012.1,83.57098447163592,89.99102038063731,0.9286591497479816,92.87887942732232
2012,2,2012.2,86.98162775922835,91.48114438320675,0.9508148192251474,95.09475567703109
2012,3,2012.3,83.44012196274662,91.93426949001487,0.9076062976908646,90.77330031538996
2012,4,2012.4,91.24530801576488,94.38184475634155,0.9667675838645235,96.69025484793266
2013,1,2013.1,86.94275387973835,91.3109525380923,0.9521612847425761,95.2294210259702
2013,2,2013.2,89.77649587184314,92.47873187106573,0.9707799193982237,97.09154441510877
2013,3,2013.3,85.4788739302457,93.6509118651125,0.912739366097821,91.28667881577007
2013,4,2013.4,93.54340941084126,95.7973512989253,0.9764717723661184,97.6608091724383
2014,1,2014.1,88.98995333797882,93.87717653288351,0.9479402409041053,94.80725771466577
2014,2,2014.2,90.97733471855449,93.75099584750362,0.9704145955584216,97.05500693106188
2014,3,2014.3,86.74002077024304,97.38756888355773,0.8906683036102325,89.07926444616639
2014,4,2014.4,95.22991704726932,98.12442339124254,0.9705016728360052,97.0637158744538
2015,1,2015.1,90.98900705058588,96.25275132809897,0.9453133109975169,94.54452805101654
2015,2,2015.2,92.97352876595126,95.24483987782156,0.9761529221448227,97.62891969903234
2015,3,2015.3,89.47182128155043,98.25785490285985,0.9105818702230422,91.07089910878834
2015,4,2015.4,97.7056132437531,98.4069111526111,0.9928734892636716,99.30120983671037
2016,1,2016.1,94.21189309180829,93.73553460759123,1.0050819412959158,100.52222547479973
2016,2,2016.2,94.89312154776563,95.87840729661102,0.9897235907789197,98.98617601439464
2016,3,2016.3,91.27915730957848,97.80268462823143,0.9332990976326442,93.34293899131369
2016,4,2016.4,98.82753935127215,100.45982700140262,0.9837518369396786,98.38891726240254
2017,1,2017.1,95.02981428345262,96.93638751343359,0.9803317074332201,98.0468565653832
2017,2,2017.2,95.99737938902535,96.40545582091934,0.995767081557583,99.59060946180529
2017,3,2017.3,92.73899071234754,101.05731605114224,0.9176870545959778,91.78151673729269
2017,4,2017.4,101.62752296402356,99.10274208713687,1.0254763977637142,102.56195583633495
2018,1,2018.1,98.42441788956214,98.97514043446213,0.9944357487902261,99.45745759913258
2018,2,2018.2,101.21392067826153,99.52104041784199,1.0170102749460008,101.7152253641087
2018,3,2018.3,95.05959289103963,99.97170818653346,0.950864945847194,95.09976903902341
2018,4,2018.4,105.30206854113669,101.53211096116243,1.0371306923916546,103.72754799773529
2019,1,2019.1,100.46341125038852,98.87386942855987,1.0160764601508505,101.6218308481663
2019,2,2019.2,103.0297559843656,99.46559289098892,1.0358331257049147,103.59777321451227
2019,3,2019.3,98.40271295861814,98.80453105658628,0.9959332017097675,99.60722379612739
2019,4,2019.4,102.65778324422759,101.0622645530775,1.0157874820854833,101.59292900738039
2020,1,2020.1,99.80956052404618,74.25280255078283,1.3441857693625048,134.4373423062953
2020,2,2020.2,86.142454997902007,63.622858091479515,1.3539544997183701,135.41435171725806
2020,3,2020.3,88.25185272474839,81.29172699836566,1.0856191150487264,108.57706718118314
2020,4,2020.4,103.0088136802846,95.91206614361576,1.0739922287362926,107.41421623396448
2021,1,2021.1,101.11626560128254,88.3267176741006,1.1447981795765532,114.49579979733555
2021,2,2021.2,104.22270284191666,86.94482057109111,1.1987223868809775,119.88897333124275
2021,3,2021.3,105.20250836557368,96.88676521257713,1.0858295055547695,108.59810916892292
2021,4,2021.4,117.1719417913371,101.65170493851656,1.1526805365655979,115.28414553709085
2022,1,2022.1,109.75811461498384,99.62392303536588,1.101724478125805,110.1878283261901
2022,2,2022.2,111.07785360310388,101.16607796102205,1.0979752881781253,109.81285699123346
2022,3,2022.3,107.24767860798676,104.23123697461403,1.0289399005607829,102.90835446792374
2022,4,2022.4,114.86585200591402,109.68609517258913,1.0472234591374106,104.73696557136446
