year,trimestre,ipc_trimestre
1997,T1,0.5519413801023667
1997,T2,0.2659398570596
1997,T3,0.6460078451801
1997,T4,0.4997230163194333
1998,T1,0.32045264841303334
1998,T2,0.30614789997933334
1998,T3,0.4293046111208333
1998,T4,0.4680663868943
1999,T1,0.12515365223673333
1999,T2,0.21223658295326667
1999,T3,0.163913467605
1999,T4,0.2649787881912
2000,T1,0.48443264551459997
2000,T2,0.30944152428236665
2000,T3,0.33412012010119996
2000,T4,0.34914617944866666
2001,T1,0.16738757043816668
2001,T2,0.31876130375216666
2001,T3,0.4448036327466
2001,T4,-0.06084393164063333
2002,T1,0.14868912476363333
2002,T2,0.11353122180013334
2002,T3,0.5568931090360667
2002,T4,0.11984940485319999
2003,T1,0.6822332615068333
2003,T2,-0.160692271455
2003,T3,0.08945090152503332
2003,T4,-0.2605301378993333
2004,T1,0.08146654699973334
2004,T2,0.44151544521656666
2004,T3,0.2233827704801
2004,T4,0.05318926854386668
2005,T1,0.07638489802206666
2005,T2,0.5255812548021334
2005,T3,0.6456831597736667
2005,T4,-0.04154502238846666
2006,T1,0.19181216724306666
2006,T2,0.4926212702898667
2006,T3,0.27373162983096666
2006,T4,-0.11398200588856668
2007,T1,0.1872158118077
2007,T2,0.7115166423265
2007,T3,1.1032405552720332
2007,T4,0.5074308424955333
2008,T1,0.39676485926053334
2008,T2,1.0002757818417667
2008,T3,1.0425724832254
2008,T4,-0.13923281738216667
2009,T1,-0.24495094193359998
2009,T2,-0.019806608732999997
2009,T3,0.060581430255900015
2009,T4,-0.2545185141256667
2010,T1,0.29444381807770004
2010,T2,0.27413142286663333
2010,T3,0.31467150637906666
2010,T4,0.0954386573071
2011,T1,0.42182445194223334
2011,T2,0.29616831545416666
2011,T3,0.26204403611986665
2011,T4,0.47064330663546666
2012,T1,0.21320301178156667
2012,T2,-0.07158875852073332
2012,T3,0.3255223303033
2012,T4,0.02724930934743333
2013,T1,0.22628250813966666
2013,T2,0.04933107830136666
2013,T3,0.3460333037495667
2013,T4,0.3712530329435
2014,T1,0.5009949365365
2014,T2,0.33679032478066667
2014,T3,0.46459562351579997
2014,T4,0.21745719004876668
2015,T1,0.35266247739286666
2015,T2,0.41200105057323333
2015,T3,0.5367014526961666
2015,T4,0.13071957628383335
2016,T1,0.3760004237429
2016,T2,0.3333911091619
2016,T3,0.17804717373653334
2016,T4,0.005109936945100001
2017,T1,0.3872465243152666
2017,T2,-0.007846328298933327
2017,T3,0.09735331744266666
2017,T4,0.27334208819833333
2018,T1,0.2367098208207
2018,T2,0.2329804791101
2018,T3,0.2886507791211
2018,T4,0.08672970310223334
2019,T1,0.21073841498583332
2019,T2,0.3046092749500667
2019,T3,0.1409689790291
2019,T4,0.33176818106016664
2020,T1,0.44838495964856667
2020,T2,-0.05410019906
2020,T3,0.289219082332
2020,T4,0.2957915652875333
2021,T1,0.4209755016907
2021,T2,0.2417854110938
2021,T3,0.7820632178423333
2021,T4,0.8737319518723333
2022,T1,1.1149846043029998
2022,T2,1.1765878676590666
2022,T3,1.1500666233013
2022,T4,0.5919803867153
