year_final,trimestre,esperado,observado,estado
2020,T3,TRUE,TRUE,OK
2020,T4,TRUE,TRUE,OK
2021,T1,TRUE,TRUE,OK
2021,T2,TRUE,TRUE,OK
2021,T3,TRUE,TRUE,OK
2021,T4,TRUE,TRUE,OK
2022,T1,TRUE,TRUE,OK
2022,T2,TRUE,TRUE,OK
2022,T3,TRUE,TRUE,OK
2022,T4,TRUE,TRUE,OK
