year,trimestre,t_index,imacec_indice,empleo_indice,prod_raw,prod_indice
2008,1,2008.1,72.92910265111408,83.92232020681193,0.8690072256271396,86.91487949612254
2008,2,2008.2,74.55541111468142,84.35533736083228,0.8838256528542894,88.39696362475601
2008,3,2008.3,70.7274229437676,84.50168583955289,0.8369942237372744,83.71305778565427
2008,4,2008.4,75.94984468748977,84.15739248658329,0.9024738343645569,90.26208557194929
2009,1,2009.1,71.28138553844461,79.96576692452808,0.891398760743709,89.15439778664694
2009,2,2009.2,72.45001696420366,80.35355143202098,0.9016405083911729,90.17873939895816
2009,3,2009.3,70.21998324605458,81.84744027679713,0.8579374383435812,85.80772043066845
2009,4,2009.4,76.9215573968745,85.06027596555931,0.9043182205054195,90.44655423279582
2010,1,2010.1,72.65898811805836,83.42941548282592,0.8709037178022101,87.10455960924547
2010,2,2010.2,77.09589247518082,85.11408483661835,0.9057947650282684,90.59423273935997
2010,3,2010.3,75.48644435341245,85.52832973135848,0.8825899510783475,88.2733733164342
2010,4,2010.4,82.65248774995999,87.90732668467882,0.9402229696556716,94.0376140694739
2011,1,2011.1,79.02862650125557,87.69119668610881,0.9012150533666342,90.13618696544748
2011,2,2011.2,81.91965675781566,88.88165192506891,0.9216711771612603,92.18213259413268
2011,3,2011.3,78.88566836508126,88.81502014890067,0.8882018855912818,88.83465819134398
2011,4,2011.4,87.22285418242012,90.55696941163535,0.9631821244584755,96.33390357567268
2012,1,2012.1,83.78697061670843,89.99102038063731,0.9310592352693918,93.12109134511658
2012,2,2012.2,87.24178081889015,91.48114438320675,0.953658608089135,95.38139679182723
2012,3,2012.3,84.11472806673304,91.93426949001487,0.9149442153980336,91.50932682936596
2012,4,2012.4,92.04478475547899,94.38184475634155,0.9752382462231378,97.53971215754034
2013,1,2013.1,87.25409997847584,91.3109525380923,0.9555710191729294,95.57266905515631
2013,2,2013.2,90.23934830533125,92.47873187106573,0.9757848802592076,97.59438446632258
2013,3,2013.3,86.57830209127312,93.6509118651125,0.9244790079137059,92.46296141154347
2013,4,2013.4,94.60326623900538,95.7973512989253,0.9875353019292369,98.76961805858896
2014,1,2014.1,89.3872125287739,93.87717653288351,0.952171931773674,95.23270494094557
2014,2,2014.2,91.77134405960629,93.75099584750362,0.9788839385651172,97.90434078344666
2014,3,2014.3,87.70948774714955,97.38756888355773,0.9006230338496296,90.0769753692002
2014,4,2014.4,96.23675806796513,98.12442339124254,0.9807625333424799,98.09223086523359
2015,1,2015.1,91.61119749530498,96.25275132809897,0.9517774425276196,95.19324958974455
2015,2,2015.2,93.65041162853174,95.24483987782156,0.9832596889098126,98.3419871029463
2015,3,2015.3,89.70009260952492,98.25785490285985,0.9129050567835483,91.30537774813298
2015,4,2015.4,97.9999460819059,98.4069111526111,0.9958644665711124,99.60267021259094
2016,1,2016.1,94.31742907950677,93.73553460759123,1.006207832220209,100.63717528051693
2016,2,2016.2,94.8329253522931,95.87840729661102,0.9890957518611715,98.92568847295858
2016,3,2016.3,91.48890675410468,97.80268462823143,0.9354437161093608,93.55961085637145
2016,4,2016.4,98.86054883464193,100.45982700140262,0.9840804208558078,98.42407366803016
2017,1,2017.1,93.96764278656377,96.93638751343359,0.9693742999608026,96.95322200218543
2017,2,2017.2,95.4746330357918,96.40545582091934,0.9903447084275332,99.0506044762552
2017,3,2017.3,93.18655676326402,101.05731605114224,0.9221158883351399,92.22661095627798
2017,4,2017.4,102.02342879792832,99.10274208713687,1.0294713006853373,102.96390111049985
2018,1,2018.1,98.2195738288212,98.97514043446213,0.9923660971601121,99.25277627980968
2018,2,2018.2,100.72333243447528,99.52104041784199,1.0120807822304252,101.22456595733934
2018,3,2018.3,95.4275681975101,99.97170818653346,0.9545457402753925,95.47012446265879
2018,4,2018.4,105.62952553919342,101.53211096116243,1.0403558493883607,104.0525333001922
2019,1,2019.1,99.44094422884454,98.87386942855987,1.005735335367798,100.58991789786403
2019,2,2019.2,101.93115539161433,99.46559289098892,1.0247880943446201,102.49550418265478
2019,3,2019.3,98.4326380664929,98.80453105658628,0.9962360735270288,99.63983696200444
2019,4,2019.4,102.73273244841934,101.0622645530775,1.0165290962232942,101.66946982378545
2020,1,2020.1,99.22117848113052,74.25280255078283,1.3362617311753502,133.64794206005567
2020,2,2020.2,86.72062309330683,63.622858091479515,1.3630419269850533,136.32639791524505
2020,3,2020.3,89.1158527622149,81.29172699836566,1.0962475033161312,109.64260921983188
2020,4,2020.4,102.75002779175036,95.91206614361576,1.0712940709451055,107.14685946818032
2021,1,2021.1,99.73404492917824,88.3267176741006,1.1291492263662202,112.93331752441422
2021,2,2021.2,102.61541343409336,86.94482057109111,1.180236071108906,118.042834250749
2021,3,2021.3,103.54152067125038,96.88676521257713,1.0686859081740647,106.88600070168654
2021,4,2021.4,114.66534192368074,101.65170493851656,1.1280218270124973,112.82055922266119
2022,1,2022.1,105.81322180851645,99.62392303536588,1.0621266316821654,106.2299661958011
2022,2,2022.2,107.2292771604705,101.16607796102205,1.0599331250321329,106.01057979654081
2022,3,2022.3,104.2871690727424,104.23123697461403,1.000536615507518,100.06996121986947
2022,4,2022.4,112.28540899434066,109.68609517258913,1.0236977514575711,102.38645213125335
