year,trimestre,t_index,imacec_indice
2008,1,2008.1,72.92910265111408
2008,2,2008.2,74.55541111468142
2008,3,2008.3,70.7274229437676
2008,4,2008.4,75.94984468748977
2009,1,2009.1,71.28138553844461
2009,2,2009.2,72.45001696420366
2009,3,2009.3,70.21998324605458
2009,4,2009.4,76.9215573968745
2010,1,2010.1,72.65898811805836
2010,2,2010.2,77.09589247518082
2010,3,2010.3,75.48644435341245
2010,4,2010.4,82.65248774995999
2011,1,2011.1,79.02862650125557
2011,2,2011.2,81.91965675781566
2011,3,2011.3,78.88566836508126
2011,4,2011.4,87.22285418242012
2012,1,2012.1,83.78697061670843
2012,2,2012.2,87.24178081889015
2012,3,2012.3,84.11472806673304
2012,4,2012.4,92.04478475547899
2013,1,2013.1,87.25409997847584
2013,2,2013.2,90.23934830533125
2013,3,2013.3,86.57830209127312
2013,4,2013.4,94.60326623900538
2014,1,2014.1,89.3872125287739
2014,2,2014.2,91.77134405960629
2014,3,2014.3,87.70948774714955
2014,4,2014.4,96.23675806796513
2015,1,2015.1,91.61119749530498
2015,2,2015.2,93.65041162853174
2015,3,2015.3,89.70009260952492
2015,4,2015.4,97.9999460819059
2016,1,2016.1,94.31742907950677
2016,2,2016.2,94.8329253522931
2016,3,2016.3,91.48890675410468
2016,4,2016.4,98.86054883464193
2017,1,2017.1,93.96764278656377
2017,2,2017.2,95.4746330357918
2017,3,2017.3,93.18655676326402
2017,4,2017.4,102.02342879792832
2018,1,2018.1,98.2195738288212
2018,2,2018.2,100.72333243447528
2018,3,2018.3,95.4275681975101
2018,4,2018.4,105.62952553919342
2019,1,2019.1,99.44094422884454
2019,2,2019.2,101.93115539161433
2019,3,2019.3,98.4326380664929
2019,4,2019.4,102.73273244841934
2020,1,2020.1,99.22117848113052
2020,2,2020.2,86.72062309330683
2020,3,2020.3,89.1158527622149
2020,4,2020.4,102.75002779175036
2021,1,2021.1,99.73404492917824
2021,2,2021.2,102.61541343409336
2021,3,2021.3,103.54152067125038
2021,4,2021.4,114.66534192368074
2022,1,2022.1,105.81322180851645
2022,2,2022.2,107.2292771604705
2022,3,2022.3,104.2871690727424
2022,4,2022.4,112.28540899434066
