archivo,year,month,trimestre,var_ingreso,var_peso,flag_ok,motivo
septiembre2003.sav,2003,09,T3,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
diciembre2003.sav,2003,12,T4,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
marzo2004.sav,2004,03,T1,ingsueld,factor_hd,TRUE,NA
junio2004.sav,2004,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2004.sav,2004,09,T3,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
diciembre2004.sav,2004,12,T4,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
marzo2005.sav,2005,03,T1,ingsueld,factor_hd,TRUE,NA
junio2005.sav,2005,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2005.sav,2005,09,T3,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
diciembre2005.sav,2005,12,T4,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
marzo2006.sav,2006,03,T1,ingsueld,factor_hd,TRUE,NA
junio2006.sav,2006,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2006.sav,2006,09,T3,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
diciembre2006.sav,2006,12,T4,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
marzo2007.sav,2007,03,T1,ingsueld,factor_hd,TRUE,NA
junio2007.sav,2007,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2007.sav,2007,09,T3,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
diciembre2007.sav,2007,12,T4,NA,factor_hd,FALSE,no se encontró ingreso o ponderador
marzo2008.sav,2008,03,T1,ingsueld,factor_hd,TRUE,NA
junio2008.sav,2008,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2008.sav,2008,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2008.sav,2008,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2009.sav,2009,03,T1,ingsueld,factor_hd,TRUE,NA
junio2009.sav,2009,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2009.sav,2009,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2009.sav,2009,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2010.sav,2010,03,T1,ingsueld,factor_hd,TRUE,NA
junio2010.sav,2010,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2010.sav,2010,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2010.sav,2010,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2011.sav,2011,03,T1,ingsueld,factor_hd,TRUE,NA
junio2011.sav,2011,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2011.sav,2011,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2011.sav,2011,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2012.sav,2012,03,T1,ingsueld,factor_hd,TRUE,NA
junio2012.sav,2012,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2012.sav,2012,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2012.sav,2012,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2013.sav,2013,03,T1,ingsueld,factor_hd,TRUE,NA
junio2013.sav,2013,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2013.sav,2013,09,T3,ingsueld,factor_hd,TRUE,NA
diciembre2013.sav,2013,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2014.sav,2014,03,T1,ingsueld,factor_hd,TRUE,NA
junio2014.sav,2014,06,T2,ingsueld,factor_hd,TRUE,NA
septiembre2014.sav,2014,09,T3,ingsueld,factor_hd,TRUE,NA
Diciembre2014.sav,2014,12,T4,ingsueld,factor_hd,TRUE,NA
marzo2015.sav,2015,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2015.sav,2015,06,T2,ingsueld,factor_hd,TRUE,NA
Septiembre2015.sav,2015,09,T3,ingsueld,factor_hd,TRUE,NA
Diciembre2015.sav,2015,12,T4,ingsueld,factor_hd,TRUE,NA
Marzo2016.sav,2016,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2016.sav,2016,06,T2,ingsueld,factor_hd,TRUE,NA
Septiembre2016.sav,2016,09,T3,ingsueld,factor_hd,TRUE,NA
Marzo2017.sav,2017,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2017.sav,2017,06,T2,ingsueld,factor_hd,TRUE,NA
Septiembre2017.sav,2017,09,T3,ingsueld,factor_hd,TRUE,NA
Diciembre2017.sav,2017,12,T4,ingsueld,factor_hd,TRUE,NA
Marzo2018.sav,2018,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2018.sav,2018,06,T2,ingsueld,factor_hd,TRUE,NA
Septiembre2018.sav,2018,09,T3,NA,NA,FALSE,fallo lectura
Diciembre2018.sav,2018,12,T4,NA,NA,FALSE,fallo lectura
Marzo2019.sav,2019,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2019.sav,2019,06,T2,ingsueld,factor_hd,TRUE,NA
Septiembre2019.sav,2019,09,T3,ingsueld,factor_hd,TRUE,NA
Diciembre2019.sav,2019,12,T4,ingsueld,factor_hd,TRUE,NA
Marzo2020.sav,2020,03,T1,ingsueld,factor_hd,TRUE,NA
Junio2020.sav,2020,06,T2,ingsueld,pondera,TRUE,NA
Base_web_Septiembre2020.sav,2020,09,T3,ingsueld,pondera,TRUE,NA
Base_web_Diciembre2020.sav,2020,12,T4,ingsueld,factor_hd,TRUE,NA
Base_web_Junio2021s.sav,2021,06,T2,ingsueld,pondera,TRUE,NA
Base_web_Septiembre2021.sav,2021,09,T3,ingsueld,pondera,TRUE,NA
Base_web_Diciembre2021s.sav,2021,12,T4,ingsueld,pondera,TRUE,NA
Base_web_Marzo2022.sav,2022,03,T1,ingsueld,pondera,TRUE,NA
Base_web_Septiembre2022.sav,2022,09,T3,ingsueld,pondera,TRUE,NA
Diciembre2022.sav,2022,12,T4,ingsueld,pondera,TRUE,NA
