year,trimestre,month,file,ok,motivo,n_total,n_usadas,masa_salarial,suma_pesos,salario_promedio,wage_var,weight_var,mult_unidades
2009,T2,6,junio2009.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2009,T3,9,septiembre2009.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2009,T4,12,diciembre2009.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2010,T1,3,marzo2010.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2010,T2,6,junio2010.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2010,T3,9,septiembre2010.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2010,T4,12,diciembre2010.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2011,T1,3,marzo2011.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2011,T2,6,junio2011.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2011,T3,9,septiembre2011.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2011,T4,12,diciembre2011.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2012,T1,3,marzo2012.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2012,T2,6,junio2012.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2012,T3,9,septiembre2012.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2012,T4,12,diciembre2012.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2013,T1,3,marzo2013.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2013,T2,6,junio2013.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2013,T3,9,septiembre2013.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2013,T4,12,diciembre2013.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2014,T1,3,marzo2014.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2014,T2,6,junio2014.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2014,T3,9,septiembre2014.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2014,T4,12,Diciembre2014.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2015,T1,3,marzo2015.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2015,T2,6,Junio2015.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2015,T3,9,Septiembre2015.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2015,T4,12,Diciembre2015.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2016,T1,3,Marzo2016.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
2016,T2,6,Junio2016.sav,FALSE,Fallo en lectura/procesamiento en resumir_archivo(),NA,0,NA,NA,NA,NA,NA,1
