year,trimestre,n_obs,masa_salarial_real,suma_pesos,media_pond_real,media_simple_real,var_real,sd_real,t_index,cv_real,media_ajustada_cv
2008,T1,3655,927879284.5499882,2033.675771355629,456257.2351105273,456257.23511052725,328066635480.8888,572771.0148749575,2008.1,1.2553686183983581,-116513.7797644302
2008,T2,3573,902010271.720679,2003.653482913971,450182.76833420293,450182.76833420293,350157964414.2948,591741.4675466769,2008.2,1.3144471738362602,-141558.69921247396
2008,T3,3802,997281415.7968776,2122.052055835724,469960.8631439157,469960.8631439157,451075019988.464,671621.1878644568,2008.3,1.4291002518198772,-201660.32472054107
2008,T4,3924,910117286.8065172,2100.728699684143,433238.8503776612,433238.8503776611,266800385937.5941,516527.2363947463,2008.4,1.1922458845610944,-83288.38601708508
2009,T1,3648,890867855.8317375,2001.2695999145508,445151.3458605354,445151.34586053545,336709587025.2902,580266.8239915929,2009.1,1.3035270574547217,-135115.47813105743
2009,T2,3642,918671649.06608,1996.643429517746,460108.0170273413,460108.0170273413,363381356250.6137,602811.2111188823,2009.2,1.3101515053215451,-142703.19409154102
2009,T3,3634,990311432.454092,2010.4386414289472,492584.7583939265,492584.7583939265,497737978297.2128,705505.4771560691,2009.3,1.4322519427039746,-212920.71876214267
2009,T4,3586,983177035.5052556,2017.4052160978315,487347.32499946986,487347.32499946986,486819352824.9249,697724.4103691119,2009.4,1.4316779318935853,-210377.08536964213
2010,T1,3638,933916701.9376523,2013.6709351539612,463788.1421605001,463788.1421605001,264624497237.21915,514416.6572314889,2010.1,1.1091630217951285,-50628.515070988826
2010,T2,3616,857084048.871614,2001.3917598724363,428244.01801586425,428244.01801586425,195240301872.90164,441860.0478351733,2010.2,1.0317950263085862,-13616.029819309073
2010,T3,3531,821997312.0228598,1942.2579805254936,423217.3687866438,423217.3687866438,195389784155.00928,442029.16663384245,2010.3,1.0444494938880504,-18811.7978471987
2010,T4,3719,942228018.7182064,2090.8464418649673,450644.2940294409,450644.2940294409,293977714640.1065,542197.1178825155,2010.4,1.203159842621004,-91552.82385307465
2011,T1,3543,967344879.3056928,2043.0837038755417,473472.9553521125,473472.9553521125,304003958348.6643,551365.5396818559,2011.1,1.1645132703974956,-77892.58432974346
2011,T2,3668,995307515.9939362,2066.4177277088165,481658.42881027935,481658.42881027935,362852984575.25635,602372.7953479111,2011.2,1.2506223483637613,-120714.36653763175
2011,T3,3785,1004605013.8227482,2153.6192241311073,466472.9041077645,466472.9041077645,298466282868.43726,546320.6776870497,2011.3,1.171173444108211,-79847.77357928525
2011,T4,3761,1061188555.6705724,2180.0617995858192,486769.94196778414,486769.9419677842,540346593859.1668,735082.7122570403,2011.4,1.510123466714981,-248312.77028925615
2012,T1,3826,1074665133.5331495,2222.964267015457,483437.8804370035,483437.8804370035,378262538207.6187,615030.5181107834,2012.1,1.2722017512463584,-131592.63767377997
2012,T2,3694,1080208217.2138393,2169.5969598293304,497884.27860758663,497884.27860758663,311405575150.73553,558037.2524757963,2012.2,1.1208171787155785,-60152.97386820968
