year,trimestre,t_index,imacec_indice,imacec_no_minero_indice,n_months
2008,1,2008.1,72.92910265111408,70.45664851614475,1
2008,2,2008.2,74.55541111468142,72.07667624842522,1
2008,3,2008.3,70.7274229437676,68.41426648360608,1
2008,4,2008.4,75.94984468748977,73.42810391620228,1
2009,1,2009.1,71.28138553844461,69.64299937900013,1
2009,2,2009.2,72.45001696420366,70.05062951241744,1
2009,3,2009.3,70.21998324605458,67.38688807339337,1
2009,4,2009.4,76.9215573968745,73.79133574584557,1
2010,1,2010.1,72.65898811805836,70.56432221258618,1
2010,2,2010.2,77.09589247518082,74.68615778946491,1
2010,3,2010.3,75.48644435341245,72.73284632249054,1
2010,4,2010.4,82.65248774995999,80.3003444475725,1
2011,1,2011.1,79.02862650125557,78.43129907503905,1
2011,2,2011.2,81.91965675781566,81.10234153389912,1
2011,3,2011.3,78.88566836508126,78.21600365053642,1
2011,4,2011.4,87.22285418242012,86.17628523008402,1
2012,1,2012.1,83.78697061670843,83.57098447163592,1
2012,2,2012.2,87.24178081889015,86.98162775922835,1
2012,3,2012.3,84.11472806673304,83.44012196274662,1
2012,4,2012.4,92.04478475547899,91.24530801576488,1
2013,1,2013.1,87.25409997847584,86.94275387973835,1
2013,2,2013.2,90.23934830533125,89.77649587184314,1
2013,3,2013.3,86.57830209127312,85.4788739302457,1
2013,4,2013.4,94.60326623900538,93.54340941084126,1
2014,1,2014.1,89.3872125287739,88.98995333797882,1
2014,2,2014.2,91.77134405960629,90.97733471855449,1
2014,3,2014.3,87.70948774714955,86.74002077024304,1
2014,4,2014.4,96.23675806796513,95.22991704726932,1
2015,1,2015.1,91.61119749530498,90.98900705058588,1
2015,2,2015.2,93.65041162853174,92.97352876595126,1
2015,3,2015.3,89.70009260952492,89.47182128155043,1
2015,4,2015.4,97.9999460819059,97.7056132437531,1
2016,1,2016.1,94.31742907950677,94.21189309180829,1
2016,2,2016.2,94.8329253522931,94.89312154776563,1
2016,3,2016.3,91.48890675410468,91.27915730957848,1
2016,4,2016.4,98.86054883464193,98.82753935127215,1
2017,1,2017.1,93.96764278656377,95.02981428345262,1
2017,2,2017.2,95.4746330357918,95.99737938902535,1
2017,3,2017.3,93.18655676326402,92.73899071234754,1
2017,4,2017.4,102.02342879792832,101.62752296402356,1
2018,1,2018.1,98.2195738288212,98.42441788956214,1
2018,2,2018.2,100.72333243447528,101.21392067826153,1
2018,3,2018.3,95.4275681975101,95.05959289103963,1
2018,4,2018.4,105.62952553919342,105.30206854113669,1
2019,1,2019.1,99.44094422884454,100.46341125038852,1
2019,2,2019.2,101.93115539161433,103.0297559843656,1
2019,3,2019.3,98.4326380664929,98.40271295861814,1
2019,4,2019.4,102.73273244841934,102.65778324422759,1
2020,1,2020.1,99.22117848113052,99.80956052404618,1
2020,2,2020.2,86.72062309330683,86.142454997902007,1
2020,3,2020.3,89.1158527622149,88.25185272474839,1
2020,4,2020.4,102.75002779175036,103.0088136802846,1
2021,1,2021.1,99.73404492917824,101.11626560128254,1
2021,2,2021.2,102.61541343409336,104.22270284191666,1
2021,3,2021.3,103.54152067125038,105.20250836557368,1
2021,4,2021.4,114.66534192368074,117.1719417913371,1
2022,1,2022.1,105.81322180851645,109.75811461498384,1
2022,2,2022.2,107.2292771604705,111.07785360310388,1
2022,3,2022.3,104.2871690727424,107.24767860798676,1
2022,4,2022.4,112.28540899434066,114.86585200591402,1
