year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2017,3,3570,1430930495.749714,2329.2940413951874,614319.3904761905,614319.3904761905,NA,2017.3,sin_winsor,T3,96.73885984058631,0.9673885984058631,NA,NA,NA,635028.5619331393,635028.5619331393,614319.3904761905,635028.5619331393,1479168245.4266162,NA,779998.7369489337,608398029641.9319,1.2282892198966286,-144970.17501579432,FALSE,FALSE,TRUE
2017,4,3539,1437853013.2349885,2260.9809723496437,635942.1113308844,635942.1113308844,NA,2017.4,sin_winsor,T4,97.37722485085186,0.9737722485085186,NA,NA,NA,653070.6870163195,653070.6870163195,635942.1113308844,653070.6870163195,1476580396.9432077,NA,810718.6197814918,657264680460.4071,1.2413948993567872,-157647.93276517227,FALSE,FALSE,TRUE
2018,1,3599,1592728087.6098595,2347.0899062752724,678596.96526813,678596.9652681301,NA,2018.1,sin_winsor,T1,98.04606084504982,0.9804606084504982,NA,NA,NA,692120.5802858026,692120.5802858027,678596.96526813,692120.5802858026,1624469227.9141917,NA,886362.8963378923,785639184004.4972,1.2806480858752671,-194242.31605208965,FALSE,FALSE,TRUE
2018,2,3488,1584976605.1656394,2331.0249004364014,679948.3801605504,679948.3801605505,NA,2018.2,sin_winsor,T2,98.72249831117561,0.9872249831117561,NA,NA,NA,688747.1364605636,688747.13646056375,679948.3801605504,688747.1364605636,1605486725.1938422,NA,732930.8025380702,537187561309.0997,1.06415078007375,-44183.66607750668,FALSE,FALSE,TRUE
2018,3,3470,1536524179.4047267,2285.2430415153503,672367.9501440922,672367.9501440922,NA,2018.3,sin_winsor,T3,99.45878501103364,0.9945878501103365,NA,NA,NA,676026.7080172977,676026.7080172977,672367.9501440922,676026.7080172977,1544885330.375059,NA,791347.3646609939,626230651555.9001,1.1705859476793712,-115320.65664369627,FALSE,FALSE,TRUE
2018,4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,NA,2018.4,sin_winsor,T4,100.06923213218228,1.0006923213218228,NA,NA,NA,689383.9783341298,689383.9783341298,689861.2535612535,689383.9783341298,1563861993.0069957,NA,796951.7630888103,635132112690.3632,1.1560346456188522,-107567.7847546804,FALSE,FALSE,TRUE
2019,1,3125,1364094637.0282173,2073.45113158226,657886.08,657886.08,NA,2019.1,sin_winsor,T1,100.30091487468133,1.0030091487468134,NA,NA,NA,655912.3421974571,655912.3421974571,657886.08,655912.3421974571,1360002188.148088,NA,682357.0789470698,465611183189.1776,1.0403174861156246,-26444.736749612774,FALSE,FALSE,TRUE
2019,2,3156,1499802889.3808126,2168.0212483406067,691784.2205323194,691784.2205323194,NA,2019.2,sin_winsor,T2,101.318346289462,1.01318346289462,NA,NA,NA,682782.7790989825,682782.7790989825,691784.2205323194,682782.7790989825,1480287573.0876448,NA,709564.3984854387,503481635598.0023,1.0392242162606942,-26781.61938645626,FALSE,FALSE,TRUE
2019,3,3161,1421748572.998176,2097.2822728157043,677900.4387851945,677900.4387851945,NA,2019.3,sin_winsor,T3,101.91285275793386,1.0191285275793387,NA,NA,NA,665176.5900375311,665176.5900375311,677900.4387851945,665176.5900375311,1395063070.5777135,NA,710417.7301760231,504693351348.4528,1.068013728709153,-45241.140138492054,FALSE,FALSE,TRUE
2019,4,3198,1473783206.2087317,2115.5343021154404,696648.220137586,696648.220137586,NA,2019.4,sin_winsor,T4,102.90408474104407,1.0290408474104407,NA,NA,NA,676987.9173316456,676987.9173316456,696648.220137586,676987.9173316456,1432191161.2327883,NA,733742.1685918225,538377569969.83044,1.0838334773888938,-56754.25126017682,FALSE,FALSE,TRUE
2020,1,3724,1481676099.8500865,2086.085047006607,710266.3920515574,710266.3920515574,NA,2020.1,sin_winsor,T1,104.00873725111573,1.0400873725111572,NA,NA,NA,682891.082829619,682891.082829619,710266.3920515574,682891.082829619,1424568876.6250186,NA,732698.3944870686,536846937283.9281,1.07293595261351,-49807.31165744965,FALSE,FALSE,TRUE
