year,trimestre,t_index,ocupados,empleo_indice
2008,1,2008.1,2527.767176270485,84.74315138267902
2008,2,2008.2,2530.783142566681,84.84426136258654
2008,3,2008.3,2538.9833776950836,85.11917345630438
2008,4,2008.4,2536.5067734718323,85.03614553799919
2009,1,2009.1,2414.909204721451,80.95959874480012
2009,2,2009.2,2405.07268679142,80.62983042758789
2009,3,2009.3,2455.235743165016,82.31154206621969
2009,4,2009.4,2536.664840877056,85.04144473255131
2010,1,2010.1,2488.5828819274902,83.42950168483337
2010,2,2010.2,2538.8230095505714,85.11379712968898
2010,3,2010.3,2551.173184275627,85.52783554911022
2010,4,2010.4,2621.5694967508316,87.88786515186437
2011,1,2011.1,2615.124074816704,87.67178300165031
2011,2,2011.2,2651.189156651497,88.8808614002645
2011,3,2011.3,2648.6387023329735,88.79535766462055
2011,4,2011.4,2703.4853053092957,90.63408475249489
2012,1,2012.1,2683.709343791008,89.9710975452811
2012,2,2012.2,2729.3224343061447,91.50027201626982
2012,3,2012.3,2742.852365255356,91.95386164959905
2012,4,2012.4,2815.8467891812325,94.40099268876723
2013,1,2013.1,2723.0723185539246,91.2907374870134
2013,2,2013.2,2759.1151428222656,92.4990697028537
2013,3,2013.3,2793.451657652855,93.65019805896101
2013,4,2013.4,2857.468910217285,95.7963702919492
2014,1,2014.1,2799.6021687984467,93.85639335336337
2014,2,2014.2,2795.8392124176025,93.73024060273751
2014,3,2014.3,2904.2889776825905,97.36600854906654
2014,4,2014.4,2926.2634293437004,98.10269992679711
2015,1,2015.1,2871.718000292778,96.27406966579522
2015,2,2015.2,2844.8788073658943,95.37428830517656
2015,3,2015.3,2931.483721971512,98.27770973488917
2015,4,2015.4,2935.9333933591843,98.42688454004865
2016,1,2016.1,2797.895352602005,93.79917250459404
2016,2,2016.2,2859.919620215893,95.87853010886458
2016,3,2016.3,2919.22310590744,97.8666737609608
2016,4,2016.4,2997.1643300056458,100.47964579996427
2017,1,2017.1,2890.833861231804,96.91492706459894
2017,2,2017.2,2875.0004332065582,96.38411291341994
2017,3,2017.3,3014.380524158478,101.05681705253176
2017,4,2017.4,2955.438818335533,99.08080203572285
2018,1,2018.1,2951.6334859132767,98.95322863238573
2018,2,2018.2,2969.2498946785927,99.54381704133127
2018,3,2018.3,2982.0116691589355,99.97165430294763
2018,4,2018.4,3028.5336735248566,101.53130002333539
2019,1,2019.1,2948.6133852005005,98.85198004656014
2019,2,2019.2,2973.1292657852173,99.6738725844384
2019,3,2019.3,2947.872552394867,98.82714369802835
2019,4,2019.4,3013.875634908676,101.0398906890086
2020,1,2020.1,2214.9248861074448,74.25514370417687
2020,2,2020.2,1897.3588477671146,63.608772822512826
2020,3,2020.3,2424.2792935967445,81.27373007282841
2020,4,2020.4,2860.2865819633007,95.89083246614027
2021,1,2021.1,2634.0765614807606,88.30716329360428
2021,2,2021.2,2592.8656700849533,86.92557212454626
2021,3,2021.3,2889.354026556015,96.86531574947111
2021,4,2021.4,3031.4539073109627,101.62920058005275
2022,1,2022.1,2970.9814599752426,99.60186760130392
2022,2,2022.2,3016.971555054188,101.14368111402192
2022,3,2022.3,3108.3806295394897,104.20816154148262
2022,4,2022.4,3271.781653881073,109.68616516137845
