year,trimestre,ocupados,desocupados,fuerza_trab,tasa_desemp,n_obs,n_otro,t_index
2008,T1,2527.767176270485,254.83543181419373,2782.6026080846786,9.158168366326734,8548,0,2008.1
2008,T2,2530.783142566681,237.76912307739258,2768.5522656440735,8.588211464452096,8510,0,2008.2
2008,T3,2538.9833776950836,231.07037115097046,2770.053748846054,8.34172879306871,8659,0,2008.3
2008,T4,2536.5067734718323,293.9092905521393,2830.4160640239716,10.383960658218271,9037,0,2008.4
2009,T1,2414.909204721451,358.2316471338272,2773.140851855278,12.917903066271018,8738,0,2009.1
2009,T2,2405.07268679142,347.57603907585144,2752.6487258672714,12.626966739693287,8836,0,2009.2
2009,T3,2455.235743165016,307.042775452137,2762.278518617153,11.115561786501102,8778,0,2009.3
2009,T4,2536.664840877056,317.8566500544548,2854.521490931511,11.135199054000788,8622,0,2009.4
2010,T1,2488.5828819274902,301.6631829738617,2790.246064901352,10.811346954969252,8774,0,2010.1
2010,T2,2538.8230095505714,267.33191925287247,2806.154928803444,9.52662721893491,8814,0,2010.2
2010,T3,2551.173184275627,235.4252097606659,2786.598394036293,8.448480063166206,8839,0,2010.3
2010,T4,2621.5694967508316,226.56927025318146,2848.138767004013,7.95499407816818,8729,0,2010.4
2011,T1,2615.124074816704,261.8007342815399,2876.9248090982437,9.100020044097013,8560,0,2011.1
2011,T2,2651.189156651497,249.57007998228073,2900.7592366337776,8.603612351912993,8760,0,2011.2
2011,T3,2648.6387023329735,217.92236799001694,2866.5610703229904,7.6022231044065105,8665,0,2011.3
2011,T4,2703.4853053092957,186.06749206781387,2889.5527973771095,6.439317953861584,8559,0,2011.4
2012,T1,2683.709343791008,246.35045719146729,2930.0598009824753,8.407693833035891,8595,0,2012.1
2012,T2,2729.3224343061447,220.83607387542725,2950.158508181572,7.485566394584909,8599,0,2012.2
2012,T3,2742.852365255356,209.10972636938095,2951.962091624737,7.083753784056508,8508,0,2012.3
2012,T4,2815.8467891812325,164.2328456044197,2980.079634785652,5.511022044088176,8412,0,2012.4
2013,T1,2723.0723185539246,197.83514869213104,2920.9074672460556,6.773071413955392,8370,0,2013.1
2013,T2,2759.1151428222656,193.55804443359375,2952.6731872558594,6.555349412492269,8435,0,2013.2
2013,T3,2793.451657652855,182.72685062885284,2976.1785082817078,6.139646869983949,8584,0,2013.3
2013,T4,2857.468910217285,203.3291855454445,3060.7980957627296,6.64301202444313,8515,0,2013.4
2014,T1,2799.6021687984467,196.43110299110413,2996.033271789551,6.556372549019608,8386,0,2014.1
2014,T2,2795.8392124176025,218.50144457817078,3014.3406569957733,7.248730964467005,8427,0,2014.2
2014,T3,2904.2889776825905,195.40320098400116,3099.6921786665916,6.303955029110621,8326,0,2014.3
2014,T4,2926.2634293437004,216.2048145532608,3142.468243896961,6.8800954464108175,8267,0,2014.4
2015,T1,2871.718000292778,221.87947356700897,3093.597473859787,7.172215371968763,8254,0,2015.1
2015,T2,2844.8788073658943,210.39915418624878,3055.277961552143,6.886416124291413,8137,0,2015.2
2015,T3,2931.483721971512,239.5327512025833,3171.016473174095,7.553816046966732,8342,0,2015.3
2015,T4,2935.9333933591843,214.86996620893478,3150.803359568119,6.819529551294722,8393,0,2015.4
2016,T1,2797.895352602005,291.9980754852295,3089.8934280872345,9.45010183299389,8381,0,2016.1
2016,T2,2859.919620215893,258.5453943014145,3118.4650145173073,8.29079027976312,8252,0,2016.2
2016,T3,2919.22310590744,240.12861251831055,3159.3517184257507,7.600565999595714,8228,0,2016.3
2016,T4,2997.1643300056458,219.54950094223022,3216.713830947876,6.825273010920437,8467,0,2016.4
2017,T1,2890.833861231804,270.73892617225647,3161.5727874040604,8.563425370148058,8431,0,2017.1
2017,T2,2875.0004332065582,255.95241951942444,3130.9528527259827,8.17490494296578,8031,0,2017.2
2017,T3,3014.380524158478,247.93606042861938,3262.316584587097,7.6,8172,0,2017.3
2017,T4,2955.438818335533,268.32777857780457,3223.7665969133377,8.323424494649228,8347,0,2017.4
2018,T1,2951.6334859132767,255.64302396774292,3207.2765098810196,7.970719804798699,8173,0,2018.1
2018,T2,2969.2498946785927,235.9093434214592,3205.159238100052,7.360300250208507,7976,0,2018.2
2018,T3,2982.0116691589355,246.30573415756226,3228.317403316498,7.62953896368829,8055,0,2018.3
2018,T4,3028.5336735248566,253.99354112148285,3282.5272146463394,7.737743650324867,8312,0,2018.4
2019,T1,2948.6133852005005,262.0842230319977,3210.697608232498,8.162843562719571,8051,0,2019.1
2019,T2,2973.1292657852173,291.267746925354,3264.3970127105713,8.922558922558922,7866,0,2019.2
2019,T3,2947.872552394867,297.9056439399719,3245.778196334839,9.178250204415372,8137,0,2019.3
2019,T4,3013.875634908676,301.6521706581116,3315.5278055667877,9.098164405426976,8227,0,2019.4
2020,T1,2214.9248861074448,515.3593564033508,2730.2842425107956,18.87566680344686,10360,0,2020.1
2020,T2,1897.3588477671146,458.1812811791897,2355.5401289463043,19.451219512195124,12196,0,2020.2
2020,T3,2424.2792935967445,448.0325801372528,2872.3118737339973,15.598326359832637,12203,0,2020.3
2020,T4,2860.2865819633007,405.67623206973076,3265.9628140330315,12.421336529817202,12252,0,2020.4
2021,T1,2634.0765614807606,379.4814991056919,3013.5580605864525,12.59247346413638,12082,0,2021.1
2021,T2,2592.8656700849533,324.4752622246742,2917.3409323096275,11.122294916960241,12165,0,2021.2
2021,T3,2889.354026556015,257.79925912618637,3147.1532856822014,8.19150628280579,11840,0,2021.3
2021,T4,3031.4539073109627,271.0392363667488,3302.4931436777115,8.20710973724884,11664,0,2021.4
2022,T1,2970.9814599752426,328.32145696878433,3299.302916944027,9.95123713202095,9882,0,2022.1
2022,T2,3016.971555054188,293.8657089471817,3310.8372640013695,8.875872944356837,7922,0,2022.2
2022,T3,3108.3806295394897,300.03674030303955,3408.4173698425293,8.80281690140845,7893,0,2022.3
2022,T4,3271.781653881073,285.4818361401558,3557.263490021229,8.02532162548499,8211,0,2022.4
