year,trimestre,t_index,imacec_no_minero_indice,empleo_indice,prod_raw,prod_indice
2008,1,2008.1,70.45664851614475,84.74315138267902,0.8314140714213003,83.1530909872449
2008,2,2008.2,72.07667624842522,84.84426136258654,0.8495173991839194,84.96367816920538
2008,3,2008.3,68.41426648360608,85.11917345630438,0.8037468375879648,80.38597879683437
2008,4,2008.4,73.42810391620228,85.03614553799919,0.863492852970273,86.36141994460988
2009,1,2009.1,69.64299937900013,80.95959874480012,0.8602191767097063,86.03400631364698
2009,2,2009.2,70.05062951241744,80.62983042758789,0.868792965840708,86.89150571403225
2009,3,2009.3,67.38688807339337,82.31154206621969,0.8186809089201679,81.87959579825679
2009,4,2009.4,73.79133574584557,85.04144473255131,0.8677102791222979,86.7832218272167
2010,1,2010.1,70.56432221258618,83.42950168483337,0.8457958010962692,84.59146606089777
2010,2,2010.2,74.68615778946491,85.11379712968898,0.8774859107233186,87.76092236407177
2010,3,2010.3,72.73284632249054,85.52783554911022,0.850399707364595,85.05192138633194
2010,4,2010.4,80.3003444475725,87.88786515186437,0.9136681646416016,91.37965622438193
2011,1,2011.1,78.43129907503905,87.67178300165031,0.8946013915738736,89.47271097263318
2011,2,2011.2,81.10234153389912,88.8808614002645,0.912483747976567,91.26119791329505
2011,3,2011.3,78.21600365053642,88.79535766462055,0.8808569018434244,88.09806884855232
2011,4,2011.4,86.17628523008402,90.63408475249489,0.9508154185637302,95.09490364620216
2012,1,2012.1,83.57098447163592,89.9710975452811,0.9288647882679869,92.89953214486465
2012,2,2012.2,86.98162775922835,91.50027201626982,0.9506160565704329,95.07496464524237
2012,3,2012.3,83.44012196274662,91.95386164959905,0.9074129184558335,90.7540437009571
2012,4,2012.4,91.24530801576488,94.40099268876723,0.9665714884651012,96.67073205607063
2013,1,2013.1,86.94275387973835,91.2907374870134,0.9523721274801447,95.2505964142425
2013,2,2013.2,89.77649587184314,92.4990697028537,0.9705664733736606,97.07028668836861
2013,3,2013.3,85.4788739302457,93.65019805896101,0.9127463230395867,91.28745910955907
2013,4,2013.4,93.54340941084126,95.7963702919492,0.9764817719685849,97.66189967543245
2014,1,2014.1,88.98995333797882,93.85639335336337,0.9481501489508262,94.82833922993184
2014,2,2014.2,90.97733471855449,93.73024060273751,0.9706294802351908,97.07658825995577
2014,3,2014.3,86.74002077024304,97.36600854906654,0.890865529591175,89.09907227437051
2014,4,2014.4,95.22991704726932,98.10269992679711,0.9707165767948138,97.08529913988427
2015,1,2015.1,90.98900705058588,96.27406966579522,0.9451039866336195,94.52368019055379
2015,2,2015.2,92.97352876595126,95.37428830517656,0.974828021452245,97.49650138367592
2015,3,2015.3,89.47182128155043,98.27770973488917,0.9103979073475235,91.05258453811456
2015,4,2015.4,97.7056132437531,98.42688454004865,0.9926720092821584,99.28115092786702
2016,1,2016.1,94.21189309180829,93.79917250459404,1.0044000450770931,100.45411932121009
2016,2,2016.2,94.89312154776563,95.87853010886458,0.9897223230270628,98.98614085047622
2016,3,2016.3,91.27915730957848,97.8666737609608,0.9326888694769344,93.28199400549522
2016,4,2016.4,98.82753935127215,100.47964579996427,0.9835577998355891,98.36960190140924
2017,1,2017.1,95.02981428345262,96.91492706459894,0.9805487881150673,98.06865844377627
2017,2,2017.2,95.99737938902535,96.38411291341994,0.9959875801861456,99.61275461191653
2017,3,2017.3,92.73899071234754,101.05681705253176,0.91769158595347,91.78205489662702
2017,4,2017.4,101.62752296402356,99.08080203572285,1.0257034751029013,102.5847617004618
2018,1,2018.1,98.42441788956214,98.95322863238573,0.9946559526138541,99.47957314135206
2018,2,2018.2,101.21392067826153,99.54381704133127,1.016777572797282,101.69204603437547
2018,3,2018.3,95.05959289103963,99.97165430294763,0.9508654583525966,95.09990832829695
2018,4,2018.4,105.30206854113669,101.53130002333539,1.037138976029408,103.72847249597552
2019,1,2019.1,100.46341125038852,98.85198004656014,1.0163014560059331,101.64442766438096
2019,2,2019.2,103.0297559843656,99.6738725844384,1.033668636653846,103.38138978981031
2019,3,2019.3,98.40271295861814,98.82714369802835,0.9957053222067503,99.58452484741133
2019,4,2019.4,102.65778324422759,101.0398906890086,1.0160124139504338,101.61551939692887
2020,1,2020.1,99.80956052404618,74.25514370417687,1.3441433891997419,134.4332281398123
2020,2,2020.2,86.142454997902007,63.608772822512826,1.354254313917748,135.4444627002333
2020,3,2020.3,88.25185272474839,81.27373007282841,1.0858595101475834,108.60121057647274
2020,4,2020.4,103.0088136802846,95.89083246614027,1.0742300492245465,107.43810105559011
2021,1,2021.1,101.11626560128254,88.30716329360428,1.1450516790477174,114.52125929283743
2021,2,2021.2,104.22270284191666,86.92557212454626,1.1989878271101535,119.91563206267787
2021,3,2021.3,105.20250836557368,96.86531574947111,1.0860699472416482,108.62225724314743
2021,4,2021.4,117.1719417913371,101.62920058005275,1.1529357814739616,115.30978033059363
2022,1,2022.1,109.75811461498384,99.60186760130392,1.101968439531017,110.21232989327461
2022,2,2022.2,111.07785360310388,101.14368111402192,1.0982184193779037,109.83727517900599
2022,3,2022.3,107.24767860798676,104.20816154148262,1.0291677448439984,102.93123735788407
2022,4,2022.4,114.86585200591402,109.68616516137845,1.0472227909227643,104.73699569295769
