year,trimestre,t_index,imacec_indice,empleo_indice,prod_raw,prod_indice
2008,1,2008.1,72.92910265111408,84.74315138267902,0.8605899292296125,86.07307739978899
2008,2,2008.2,74.55541111468142,84.84426136258654,0.8787325143425416,87.88763283393789
2008,3,2008.3,70.7274229437676,85.11917345630438,0.8309223418396476,83.10583311891833
2008,4,2008.4,75.94984468748977,85.03614553799919,0.8931477809462904,89.32939541560529
2009,1,2009.1,71.28138553844461,80.95959874480012,0.8804562602037708,88.06003563100984
2009,2,2009.2,72.45001696420366,80.62983042758789,0.8985510273306309,89.86980848395922
2009,3,2009.3,70.21998324605458,82.31154206621969,0.8531000815118075,85.32397004862074
2009,4,2009.4,76.9215573968745,85.04144473255131,0.9045184690686615,90.466650321344
2010,1,2010.1,72.65898811805836,83.42950168483337,0.8709028179568645,87.10453505399462
2010,2,2010.2,77.09589247518082,85.11379712968898,0.905797826851842,90.59460703772378
2010,3,2010.3,75.48644435341245,85.52783554911022,0.8825950507080004,88.27394968503239
2010,4,2010.4,82.65248774995999,87.88786515186437,0.9404311688211108,94.05850804642229
2011,1,2011.1,79.02862650125557,87.67178300165031,0.9014146147771166,90.1562140942864
2011,2,2011.2,81.91965675781566,88.8808614002645,0.9216793746957529,92.18302174067189
2011,3,2011.3,78.88566836508126,88.79535766462055,0.8883985654186098,88.8543961368335
2011,4,2011.4,87.22285418242012,90.63408475249489,0.962362608069688,96.25201090279593
2012,1,2012.1,83.78697061670843,89.9710975452811,0.931265405254612,93.14178168222504
2012,2,2012.2,87.24178081889015,91.50027201626982,0.953459250955861,95.3615294784288
2012,3,2012.3,84.11472806673304,91.95386164959905,0.914749272708764,91.48989812342424
2012,4,2012.4,92.04478475547899,94.40099268876723,0.975040432667308,97.52000084874933
2013,1,2013.1,87.25409997847584,91.2907374870134,0.9557826169482769,95.59390410204574
2013,2,2013.2,90.23934830533125,92.4990697028537,0.9755703337905814,97.57299963347667
2013,3,2013.3,86.57830209127312,93.65019805896101,0.9244860543355656,92.4637356389745
2013,4,2013.4,94.60326623900538,95.7963702919492,0.9875454148282684,98.77070372228499
2014,1,2014.1,89.3872125287739,93.85639335336337,0.9523827768688778,95.25386445207798
2014,2,2014.2,91.77134405960629,93.73024060273751,0.9791006986588915,97.92609389851363
2014,3,2014.3,87.70948774714955,97.36600854906654,0.9008224641657084,90.09698934196598
2014,4,2014.4,96.23675806796513,98.10269992679711,0.980979709424671,98.11402572711727
2015,1,2015.1,91.61119749530498,96.27406966579522,0.9515666867862043,95.17224208762148
2015,2,2015.2,93.65041162853174,95.37428830517656,0.9819251424332647,98.2085845010014
2015,3,2015.3,89.70009260952492,98.27770973488917,0.9127206245596996,91.28700010751594
2015,4,2015.4,97.9999460819059,98.42688454004865,0.9956623796421289,99.58253304650239
2016,1,2016.1,94.31742907950677,93.79917250459404,1.0055251721425085,100.5689737117135
2016,2,2016.2,94.8329253522931,95.87853010886458,0.9890944849135228,98.92563608300313
2016,3,2016.3,91.48890675410468,97.8666737609608,0.9348320857165964,93.49850810097308
2016,4,2016.4,98.86054883464193,100.47964579996427,0.9838863189411948,98.40473424855054
2017,1,2017.1,93.96764278656377,96.91492706459894,0.9695889542787289,96.97476379060308
2017,2,2017.2,95.4746330357918,96.38411291341994,0.9905640063477565,99.07261227672025
2017,3,2017.3,93.18655676326402,101.05681705253176,0.9221204415613389,92.2271356457626
2017,4,2017.4,102.02342879792832,99.08080203572285,1.0296992626396435,102.98677839633494
2018,1,2018.1,98.2195738288212,98.95322863238573,0.9925858426884676,99.27482900031067
2018,2,2018.2,100.72333243447528,99.54381704133127,1.011849207999069,101.20148079699634
2018,3,2018.3,95.4275681975101,99.97165430294763,0.9545462547647013,95.47024764929554
2018,4,2018.4,105.62952553919342,101.53130002333539,1.0403641587856762,104.05344255339746
2019,1,2019.1,99.44094422884454,98.85198004656014,1.0059580413261018,100.61226771444109
2019,2,2019.2,101.93115539161433,99.6738725844384,1.0226466851206537,102.28140522144382
2019,3,2019.3,98.4326380664929,98.82714369802835,0.9960081247239029,99.61711321316872
2019,4,2019.4,102.73273244841934,101.0398906890086,1.016754192308275,101.69205950324375
2020,1,2020.1,99.22117848113052,74.25514370417687,1.3362196008456355,133.64382875088842
2020,2,2020.2,86.72062309330683,63.608772822512826,1.3633437534675108,136.35668792891335
2020,3,2020.3,89.1158527622149,81.27373007282841,1.0964902519222295,109.66697043073958
2020,4,2020.4,102.75002779175036,95.89083246614027,1.0715312939642287,107.17066615483411
2021,1,2021.1,99.73404492917824,88.30716329360428,1.1293992605965812,112.95840988938335
2021,2,2021.2,102.61541343409336,86.92557212454626,1.1804974178032077,118.06906188617089
2021,3,2021.3,103.54152067125038,96.86531574947111,1.0689225536521902,106.90974942879822
2021,4,2021.4,114.66534192368074,101.62920058005275,1.1282716115961131,112.8456265341517
2022,1,2022.1,105.81322180851645,99.60186760130392,1.0623618247006767,106.25356916028383
2022,2,2022.2,107.2292771604705,101.14368111402192,1.060167832329418,106.03413401612063
2022,3,2022.3,104.2871690727424,104.20816154148262,1.0007581702823567,100.09219550860217
2022,4,2022.4,112.28540899434066,109.68616516137845,1.0236970982542601,102.38646372594154
