h,irf,lower,upper
0,0,0,0
1,0.00207125989326503,-0.00823697872280242,0.01059544980701485
2,0.00447291657294215,-0.0049870061959858,0.01114465999938149
3,-0.00236173657408494,-0.00995040016195657,0.00568835686865178
4,0.00262576491180166,-0.00381245990899856,0.00756161253838386
5,0.00137229155947556,-0.0042111725087446,0.00568272507147859
6,0.00236926134667961,-0.00327192430625148,0.00689341792848744
7,-3.2788004805455855e-4,-0.00497199919899826,0.00483461927362366
8,0.00493403487863215,2.5355776567901787e-4,0.00886961269530711
9,0.00102039110868659,-0.00270585639775191,0.00433058169529
10,0.00146307402595448,-0.00211931396959443,0.0040384026637793596
11,-0.00130121549013475,-0.00435698985652893,0.0016165807071182
12,0.00234849505296059,-6.696626802371876e-4,0.00450901806728861
