H,M_gw,M_gw_lower,M_gw_upper
4,0.0068082048039239,-0.02698684498974335,0.03499007921343198
8,0.01515591254065666,-0.03918838323805867,0.06127045418232878
12,0.018686657238123572,-0.04904020614217113,0.07576503731580495
