horizonte,respuesta,estimacion_puntual,limite_inferior_68,limite_inferior_90,limite_inferior_95,limite_superior_68,limite_superior_90,limite_superior_95
0,ga,0,0,0,0,0,0,0
1,ga,0.004055117885350964,-0.0021217136081191786,-0.0067414858613112595,-0.010167844374381414,0.00960180390980822,0.015045876821259766,0.016009566023472168
2,ga,-0.01060120813041066,-0.015436185380989339,-0.02035047005201208,-0.022131752709397788,-0.003447782791138195,3.0594173957416374e-4,0.003065037184970033
3,ga,0.012376771993586519,0.0041423482474090955,-0.0013380053719535727,-0.0025977061480652935,0.018508927623041977,0.02356163475881307,0.025464048610580416
4,ga,0.0014749258129561859,-0.006270977505552029,-0.010956517329138483,-0.013327286937962878,0.007871508307602484,0.012503430767518524,0.015724788589435223
5,ga,-0.0026376134784994202,-0.00861342281620141,-0.013625030476815821,-0.015543608959077556,0.0030395914421638068,0.007776748245291338,0.010524603618350573
6,ga,-0.00410946733047372,-0.009007793464338202,-0.013044715193899558,-0.01475772018639347,0.0029101795867789533,0.006369579669472674,0.009239927974360766
7,ga,0.0021812044815720617,-0.003027085563104842,-0.006877137373797205,-0.008660266576580106,0.00745081168750872,0.011179911091466606,0.012887857805604095
8,ga,0.004138902430595393,-0.001290421992060249,-0.004290065021599047,-0.006218878397578327,0.008061929590419226,0.012272209116326501,0.0137955538323876
9,ga,0.003545846363555991,-0.0011664295916279312,-0.0038624316649445048,-0.005669611314882687,0.0067390017028040655,0.00986777485845401,0.01121092681709373
10,ga,-0.0019754803793553865,-0.005557943848653036,-0.008625270244081808,-0.009653879105630002,0.0016089294077804128,0.003913823694494124,0.005199264040352171
11,ga,-3.4506254251810963e-4,-0.0037087351836306557,-0.006592309059356118,-0.00788037832601415,0.0027345349089860174,0.005218764140568525,0.006358520929210015
12,ga,5.270382205556808e-4,-0.0024886255941461914,-0.004777755246737142,-0.005700695344733914,0.0030592710029249633,0.005522450910603128,0.00684302101657188
0,gw,0.04229704835235064,0.032079310855451994,0.02986374809930436,0.02815169185024657,0.04116042311317824,0.043441378113168894,0.045727688708807814
1,gw,4.0176271257885514e-5,-0.006655890102138228,-0.00961775306970389,-0.011538195529613493,0.0038121148099412167,0.007523160851652717,0.00862793989917138
2,gw,-0.005574687066854679,-0.010617063002471644,-0.01373793134722508,-0.014925088091307841,-5.464574199213466e-4,0.002839133022595694,0.003946432049956234
3,gw,0.0027737625272429506,-0.0027208640191056757,-0.005895537162745556,-0.007239626833865061,0.006937863282225131,0.009910849425723116,0.011257708492988693
4,gw,6.201363472167076e-4,-0.005647064020705433,-0.008737864369790781,-0.009926090056744698,0.003834332465242217,0.007223111680749567,0.008092817512021887
5,gw,0.0017092816122880165,-0.001968052946792916,-0.004320857117280877,-0.005420353485342651,0.004768432490284353,0.006776925824269064,0.008168482880942487
6,gw,0.0022722612840051916,-0.0011034669604498206,-0.0031806755105451756,-0.004310220016964079,0.0055986972221266,0.00786818541267875,0.00918275939170733
7,gw,0.0021159822271266753,-0.0013125042650506341,-0.0029940636943458112,-0.00436235244468172,0.004472706903468701,0.0062258903257883715,0.007735745916227259
8,gw,-2.2146243024934538e-5,-0.002722465498132499,-0.00439356875676894,-0.005354083283578075,0.002503449771401508,0.004571614060989911,0.005374281503963206
9,gw,7.106414637977074e-4,-0.0020592180497022252,-0.003626819961178382,-0.004952694165849496,0.0024794991229154283,0.004218071117287883,0.005099012853819144
10,gw,0.0016029143468489957,-8.954778100399567e-4,-0.0023204741121508276,-0.002947550737004191,0.0029684366438868614,0.00466119087498143,0.005574499719665254
11,gw,0.0024932957108734386,-1.7798481331725807e-5,-0.0010576283684831061,-0.0016916878533880918,0.003675365121153369,0.0050880616790497405,0.006016430967321726
12,gw,0.0014083575152470508,-6.437933348466606e-4,-0.0016435971607980187,-0.0022967056529360572,0.0026065767188262817,0.003901699795761546,0.004689265456862987
0,v,0.001506190417946902,-9.59028027264616e-6,-8.61251843183607e-4,-0.0012250323464143725,0.0024493681771199432,0.003489573984058532,0.0036901928470935894
1,v,6.636061405017756e-4,-0.0016775497015535975,-0.0034799039033226826,-0.004297505326068649,0.002451153164031452,0.0041726322208146295,0.005397072775107603
2,v,0.004019743822385373,4.563444766091831e-4,-0.0015813465453237549,-0.0032398562393807693,0.005919638156159592,0.008126347303986472,0.009958237394704837
3,v,0.004034521627113635,1.563356247536611e-4,-0.0018742681543452023,-0.0032870475058849936,0.0058564983852552165,0.008178979785702386,0.009351286300424647
4,v,0.0047879314904820825,5.267139286547853e-4,-0.0015353732913192593,-0.002827621497842121,0.00643142704878576,0.008554732563241862,0.010927862773495037
5,v,0.004311236908991741,6.732907263473776e-4,-9.158759054487967e-4,-0.002026788094873943,0.005576007388313202,0.0075325726239723195,0.009126724183651548
6,v,0.003680555771555262,3.96256802821629e-4,-8.592114192372191e-4,-0.0014701689582341181,0.004524026659953109,0.00651399076041463,0.007461889933875612
7,v,0.00339522682975823,2.977309550725178e-4,-7.561052227094561e-4,-0.0013927713810135535,0.004087140661324086,0.0058675493921285776,0.006535862138561362
8,v,0.0020756537053491396,-5.118031412613636e-4,-0.001243019728378235,-0.001987565993793423,0.0026714282080994734,0.004129488115175728,0.004911866668253011
9,v,0.001166896614775469,-9.05327523016904e-4,-0.0016655455733386537,-0.002133531196901417,0.0015946707391436832,0.0029019850340928307,0.003616312220133888
10,v,8.751511317991009e-4,-8.147699369304214e-4,-0.001565087187905295,-0.001977228046816764,0.0012843405553011945,0.002500341679177973,0.003203100397954445
11,v,9.628214095191565e-4,-5.038962860540949e-4,-0.0012219119645605146,-0.0016014535548928759,0.001358159370025325,0.0024524287686504714,0.0030237773901940256
12,v,5.700730185577598e-4,-5.9324879718813e-4,-0.0012644560463562025,-0.001545448738220981,0.0010392251991290786,0.0021442758900493313,0.0026818707447348483
