h,irf,lower,upper,impulse,response,relation,ci,ci_label,ci_tag,tag,wage_col,p_used,block,block_title
7,-0.011467237588021413,-0.02065068449064902,0.003426833665098197,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,0.0064359367878486385,-0.006460640332698358,0.01809827752520677,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.0022534868925757168,-0.012588921921473933,0.010035585015629678,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,0.003628439306627399,-0.007619401042204116,0.01365884381794343,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-0.005608673276145874,-0.013544268416934646,0.005420100293366028,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,0.004092050319231945,-0.005852936927215787,0.012810438597432331,ga,ga,ga -> ga,0.95,95%,ci095,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0,0,0,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,0.004089492472904304,-0.001417312088410502,0.008792741957085817,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,0.004792143267250524,-4.46103755157438e-4,0.008780688906627953,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,0.005166686810611096,-7.499925490487182e-4,0.008969432773353764,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,0.0010964876589849573,-0.002842376966355245,0.005627514277207642,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.011202950527014302,-0.014685043577569584,-0.004250677666239326,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-0.0041552421749252305,-0.007146132875805174,7.891587043537372e-4,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,9.303828820498343e-4,-0.00199208851100656,0.00433863904561142,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,7.882818166521879e-4,-0.0019951646182753482,0.003952335313466728,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.005440968692567747,-0.00655786068073553,-9.948815807471992e-4,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,-0.002546677933946552,-0.003864678790854818,6.04943129555996e-4,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-8.675933279516498e-4,-0.002380076874266957,0.0013088462067557761,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
12,0.0018474988960376067,-1.922766321159158e-5,0.00359226622812232,ga,gw,ga -> gw,0.68,68%,ci068,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
0,0,0,0,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
1,0.004089492472904304,-0.004774634006548251,0.012164855532755318,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
2,0.004792143267250524,-0.003330696653696544,0.011932930127108058,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
3,0.005166686810611096,-0.0037797930016822082,0.01325450028739547,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
4,0.0010964876589849573,-0.006698433514684102,0.008682842725481348,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
5,-0.011202950527014302,-0.019422086835523496,-0.001674832159223132,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
6,-0.0041552421749252305,-0.010824695981137425,0.0029436439829785533,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
7,9.303828820498343e-4,-0.004608470285663908,0.006914877309651456,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
8,7.882818166521879e-4,-0.004497556924909697,0.006075907060801993,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
9,-0.005440968692567747,-0.009137403977482396,4.277259614498889e-4,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
10,-0.002546677933946552,-0.0060431489874922676,0.0019745222363776937,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
11,-8.675933279516498e-4,-0.0041876844332018465,0.0029243932131794628,ga,gw,ga -> gw,0.9,90%,ci090,baseline_mean_winsor,w_real_mean_winsor,4,shock_ga,Shock de productividad
