tag,criterion,p_used,p_bic,p_aic,stable,max_root_mod,serial_p,arch_p,M_H4,M_H8,M_H12,M_lower_H4,M_lower_H8,M_lower_H12,M_upper_H4,M_upper_H8,M_upper_H12
baseline_mean_winsor,BIC/SC,1,1,6,TRUE,0.7346557865950323,5.068923246339674e-4,0.9999999994830188,0.01152683041270836,0.0145388905430448,0.01541417256580866,-0.0011017998442639,-0.00149795911732899,-0.00160391393703685,0.02807241864747108,0.033201482107502,0.03511693110579046
robust_mean_nowinsor,BIC/SC,1,1,6,TRUE,0.736952642589459,8.627929540885315e-4,0.9999999994830188,0.01143466147949551,0.01445266856887537,0.01534079182474409,-0.00116195205604664,-0.00156752945757849,-0.00164948988581293,0.02795072409117296,0.03309907349749769,0.03506245123016432
robust_median,BIC/SC,1,1,6,TRUE,0.7332584947945875,0.00114902986000109,0.9999999994830188,0.01108900166502208,0.01392803019457823,0.0147475984962351,-0.00173741375569061,-0.00212762572813697,-0.00224319791767889,0.02713798643260901,0.03210603849727199,0.0339248328029753
baseline_mean_winsor_p1,BIC/SC (fixed),1,NA,NA,TRUE,0.7346557865950323,5.068923246339674e-4,0.9999999994830188,0.01152683041270836,0.0145388905430448,0.01541417256580866,-0.00154889336352005,-0.00202874073099868,-0.002175647869159,0.02749377253502809,0.03278675425507901,0.03468867737347912
baseline_mean_winsor_p6,AIC (fixed),6,NA,NA,FALSE,1.0423432906211574,0.01326017449690153,0.999999999999977,0.00465905800450426,0.01224337977123764,0.02191789694879482,-0.05037621101176309,-0.09789177288423306,-0.13411585584455077,0.0549608149279582,0.1107569426162738,0.1602827856853348
